Read_file	Genome_file	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov	Containment_ind	Contig_name
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/007/185/GCF_000007185.1_genomic.fna.gz	100.00	95.31	99.25-100.95	0.239	0.239	0.17-0.31	1	0.258	344/1527	NC_003551.1 Methanopyrus kandleri AV19, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/022/325/GCF_000022325.1_genomic.fna.gz	99.97	95.78	99.34-100.56	0.298	0.298	0.23-0.37	1	0.467	600/2282	NC_012034.1 Caldicellulosiruptor bescii DSM 6725, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/018/945/GCF_000018945.1_genomic.fna.gz	99.96	99.96	NA-NA	9.070	HIGH	NA-NA	8	8.913	1581/1601	NC_011978.1 Thermotoga neapolitana DSM 4359, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/016/785/GCF_000016785.1_genomic.fna.gz	99.87	99.87	NA-NA	7.018	HIGH	NA-NA	6	6.680	1471/1531	NC_009486.1 Thermotoga petrophila RKU-1, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/006/985/GCF_000006985.1_genomic.fna.gz	99.87	98.28	99.60-100.09	0.913	0.913	0.83-1.03	1	0.985	1067/1829	NC_002932.3 Chlorobaculum tepidum TLS, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/020/465/GCF_000020465.1_genomic.fna.gz	99.87	99.25	99.73-100.01	1.699	1.699	1.52-1.92	2	2.046	1808/2286	NC_010803.1 Chlorobium limicola DSM 245, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCA/003/543/175/GCA_003543175.1_genomic.fna.gz	99.87	97.93	99.52-100.24	0.768	0.768	0.64-0.88	1	0.776	672/1287	DPJC01000012.1 MAG TPA_asm: Hydrogenobaculum sp. isolate UBA8840 contig_1217, whole genome shotgun sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/091/665/GCF_000091665.1_genomic.fna.gz	99.84	99.84	NA-NA	6.093	HIGH	NA-NA	6	5.805	1391/1460	NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCA/003/510/745/GCA_003510745.1_genomic.fna.gz	99.82	95.84	99.22-100.51	0.324	0.324	0.26-0.40	1	0.330	358/1336	DOKW01000009.1 MAG TPA_asm: Sulfurihydrogenibium sp. isolate UBA8851 contig_10540, whole genome shotgun sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/021/645/GCF_000021645.1_genomic.fna.gz	99.82	92.64	98.42-101.83	0.101	0.101	0.05-0.15	1	0.099	146/1564	NC_011661.1 Dictyoglomus turgidum DSM 6724, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/022/565/GCF_000022565.1_genomic.fna.gz	99.82	93.04	98.66-101.03	0.117	0.117	0.07-0.16	1	0.112	382/3578	NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCA/000/007/325/GCA_000007325.1_genomic.fna.gz	99.81	98.97	99.65-100.05	1.432	1.432	1.25-1.57	2	1.495	1336/1841	AE009951.2 Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/002/952/055/GCF_002952055.1_genomic.fna.gz	99.81	99.04	99.67-99.94	1.507	1.507	1.38-1.64	2	1.551	1695/2287	NZ_CP021255.1 Desulfobulbus oralis strain HOT041/ORNL chromosome, complete genome
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/166/095/GCF_000166095.1_genomic.fna.gz	99.81	99.81	NA-NA	5.397	HIGH	NA-NA	5	5.083	1039/1103	NC_014658.1 Methanothermus fervidus DSM 2088, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/016/545/GCF_000016545.1_genomic.fna.gz	99.81	99.81	NA-NA	5.184	HIGH	NA-NA	5	4.880	2265/2406	NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/016/425/GCF_000016425.1_genomic.fna.gz	99.80	93.51	98.99-100.70	0.140	0.140	0.10-0.18	1	0.134	554/4431	NC_009380.1 Salinispora tropica CNB-440, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/900/167/395/GCF_900167395.1_genomic.fna.gz	99.76	99.76	NA-NA	3.855	HIGH	NA-NA	3	3.544	2145/2314	NZ_FUWK01000085.1 Nitrosomonas europaea strain ATCC 25978, whole genome shotgun sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/196/115/GCF_000196115.1_genomic.fna.gz	99.75	98.85	99.67-99.84	1.382	1.382	1.29-1.45	2	1.343	4274/6110	NC_005027.1 Rhodopirellula baltica SH 1, complete sequence
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCA/000/018/565/GCA_000018565.1_genomic.fna.gz	99.74	99.05	99.64-99.81	1.615	1.615	1.51-1.72	2	1.769	4288/5756	CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome
nanopore_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/011/205/GCF_000011205.1_genomic.fna.gz	99.72	90.80	97.52-100.19	0.055	0.055	0.05-0.09	1	0.052	113/2252	NC_003106.2 Sulfurisphaera tokodaii str. 7, complete sequence
