Read_file	Genome_file	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov	Containment_ind	Contig_name
reference/all_genomes_mock2/Gemmatimonas_aurantiaca_T-27.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/010/305/GCF_000010305.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	46383/46383	NC_012489.1 Gemmatimonas aurantiaca T-27, complete sequence
reference/all_genomes_mock2/Pyrobaculum_arsenaticum_DSM_13514.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/016/385/GCF_000016385.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	21214/21214	NC_009376.1 Pyrobaculum arsenaticum DSM 13514, complete sequence
reference/all_genomes_mock2/Methanosarcina_acetivorans_C2A.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/007/345/GCF_000007345.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	53437/53437	NC_003552.1 Methanosarcina acetivorans C2A, complete sequence
reference/all_genomes_mock2/Acidobacterium_capsulatum_ATCC_51196.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/022/565/GCF_000022565.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	40576/40576	NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete sequence
reference/all_genomes_mock2/Geobacter_bemidjiensis_Bem.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/020/725/GCF_000020725.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	45059/45059	NC_011146.1 Citrifermentans bemidjiense Bem, complete sequence
reference/all_genomes_mock2/Methanomassiliicoccus_luminyensis_B10.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/308/215/GCF_000308215.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	26072/26072	NZ_CAJE01000026.1 Methanomassiliicoccus luminyensis B10, whole genome shotgun sequence
reference/all_genomes_mock2/Lactobacillus_gasseri_ATCC_33323.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/014/425/GCF_000014425.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	17575/17575	NC_008530.1 Lactobacillus gasseri ATCC 33323 = JCM 1131, complete sequence
reference/all_genomes_mock2/Paraburkholderia_xenovorans_LB400.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/013/645/GCF_000013645.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	94299/94299	NC_007951.1 Paraburkholderia xenovorans LB400 chromosome 1, complete sequence
reference/all_genomes_mock2/Porphyromonas_gingivalis_ATCC_33277.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/010/505/GCF_000010505.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	21287/21287	NC_010729.1 Porphyromonas gingivalis ATCC 33277, complete sequence
reference/all_genomes_mock2/Acidilobus_saccharovorans_345-15.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/144/915/GCF_000144915.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	15149/15149	NC_014374.1 Acidilobus saccharovorans 345-15, complete sequence
reference/all_genomes_mock2/Chlorobium_limicola_DSM_245.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/020/465/GCF_000020465.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	26617/26617	NC_010803.1 Chlorobium limicola DSM 245, complete sequence
reference/all_genomes_mock2/Deinococcus_radiodurans_R1.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/008/565/GCF_000008565.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	31592/31592	NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
reference/all_genomes_mock2/Pyrococcus_furiosus_DSM_3638.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/007/305/GCF_000007305.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	18622/18622	NC_003413.1 Pyrococcus furiosus DSM 3638, complete sequence
reference/all_genomes_mock2/Shewanella_loihica_PV-4.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/016/065/GCF_000016065.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	45330/45330	NC_009092.1 Shewanella loihica PV-4, complete sequence
reference/all_genomes_mock2/Archaeoglobus_fulgidus_DSM_4304.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/008/665/GCF_000008665.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	21459/21459	NC_000917.1 Archaeoglobus fulgidus DSM 4304, complete sequence
reference/all_genomes_mock2/Desulfovibrio_vulgaris_Hildenborough.fna.gz	gtdb_genomes_reps_r214/database/GCF/000/195/755/GCF_000195755.1_genomic.fna.gz	100.00	100.00	NA-NA	1.000	LOW	NA-NA	1	1.000	36716/36716	NC_002937.3 Desulfovibrio vulgaris str. Hildenborough, complete sequence
