Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/154/325/GCA_000154325.1_genomic.fna.gz	16.4182	11.7686	97.53	14.570	NA-NA	HIGH	NA-NA	7	7.964	5204/11311	97.53	DS499551.1 Eubacterium siraeum DSM 15702 Scfld_03_43 genomic scaffold, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/525/GCF_000154525.1_genomic.fna.gz	8.3590	8.9083	97.09	7.418	NA-NA	HIGH	NA-NA	4	4.055	6679/16671	97.09	NZ_DS499677.1 Bacteroides stercoris ATCC 43183 Scfld_02_16, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/695/995/GCF_009695995.1_genomic.fna.gz	6.8586	5.4150	96.08	6.086	NA-NA	HIGH	NA-NA	3	3.327	3644/12602	96.08	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/205/GCF_000154205.1_genomic.fna.gz	6.3167	7.9225	96.98	5.606	NA-NA	HIGH	NA-NA	3	3.064	7630/19763	96.98	NZ_DS362249.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_32, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	3.7398	5.5913	98.85	3.319	98.80-98.91	1.814	1.74-1.87	2	2.512	13950/23678	98.31	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/495/GCA_000435495.1_genomic.fna.gz	3.2594	1.1755	99.14	2.892	99.05-99.24	1.581	1.48-1.68	2	2.180	3580/5844	98.43	FR884004.1 Firmicutes bacterium CAG:552 genomic scaffold, scf8, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/172/175/GCF_000172175.1_genomic.fna.gz	3.1680	5.0961	98.39	2.811	98.33-98.44	1.537	1.49-1.59	2	2.173	12375/25845	97.65	NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/435/GCA_000434435.1_genomic.fna.gz	3.0261	1.2031	97.32	2.685	97.17-97.48	1.468	1.31-1.62	2	2.966	2113/6300	96.54	FR895494.1 Firmicutes bacterium CAG:475 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/404/675/GCF_001404675.1_genomic.fna.gz	2.9428	2.4154	98.57	2.611	98.48-98.66	1.428	1.36-1.49	2	2.010	6585/13406	97.73	NZ_CYXU01000001.1 Coprococcus eutactus strain 2789STDY5834963, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/075/GCF_000210075.1_genomic.fna.gz	2.8817	4.5770	97.77	2.557	97.69-97.83	1.398	1.35-1.46	2	2.013	9531/25203	96.91	NC_021017.1 Bacteroides xylanisolvens XB1A, complete sequence
