Read_file	Genome_file	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov	Containment_ind	Contig_name
../2023_prita_test/atopic_chng/SRR1950707_1.fastq	GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.94	99.94	NA-NA	49.550	HIGH	NA-NA	50	49.550	43595/44397	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
../2023_prita_test/atopic_chng/SRR1950705_1.fastq	GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.93	99.93	NA-NA	30.650	HIGH	NA-NA	34	30.650	43503/44397	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
../2023_prita_test/atopic_chng/SRR1950709_1.fastq	GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.91	99.91	NA-NA	11.239	HIGH	NA-NA	11	11.239	43114/44397	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
../2023_prita_test/atopic_chng/SRR1950724_1.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.86	99.86	NA-NA	13.820	HIGH	NA-NA	14	13.820	34749/36248	NC_040193.1 Malassezia restricta chromosome I, complete sequence
../2023_prita_test/atopic_chng/SRR1950723_1.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.85	99.85	NA-NA	9.347	HIGH	NA-NA	9	9.347	34603/36248	NC_040193.1 Malassezia restricta chromosome I, complete sequence
../2023_prita_test/atopic_chng/SRR1950701_1.fastq	GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.83	99.83	NA-NA	5.333	HIGH	NA-NA	5	5.333	42096/44397	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
../2023_prita_test/atopic_chng/SRR1950735_1.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.82	99.82	NA-NA	8.329	HIGH	NA-NA	8	8.329	34280/36248	NC_040193.1 Malassezia restricta chromosome I, complete sequence
../2023_prita_test/atopic_chng/SRR1950699_1.fastq	GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.81	99.81	NA-NA	7.223	HIGH	NA-NA	7	7.223	41813/44397	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
../2023_prita_test/atopic_chng/SRR1950740_1.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.81	99.27	99.78-99.83	1.834	1.834	1.79-1.88	2	2.527	28924/36248	NC_040193.1 Malassezia restricta chromosome I, complete sequence
../2023_prita_test/atopic_chng/SRR1950786_1.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.79	99.30	99.77-99.82	1.903	1.903	1.85-1.95	2	2.576	29159/36248	NC_040193.1 Malassezia restricta chromosome I, complete sequence
