Read_file	Genome_file	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov	Containment_ind	Contig_name
chng_flashed/SRR1950707.fastq	../GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.94	99.94	NA-NA	50.630	HIGH	NA-NA	51	48.085	87137/88747	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
chng_flashed/SRR1950705.fastq	../GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.93	99.93	NA-NA	31.889	HIGH	NA-NA	35	30.132	86933/88747	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
chng_flashed/SRR1950709.fastq	../GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.90	99.90	NA-NA	11.488	HIGH	NA-NA	11	10.650	86104/88747	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
chng_flashed/SRR1950724.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.86	99.86	NA-NA	14.196	HIGH	NA-NA	14	13.246	7075/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950723.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.85	99.85	NA-NA	9.672	HIGH	NA-NA	9	9.050	7057/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950701.fastq	../GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.82	99.82	NA-NA	5.494	HIGH	NA-NA	5	4.921	84014/88747	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
chng_flashed/SRR1950786.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.82	99.29	99.75-99.89	1.844	1.844	1.75-1.95	2	2.063	5937/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950735.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.81	99.81	NA-NA	8.648	HIGH	NA-NA	8	8.112	6975/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950699.fastq	../GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.80	99.80	NA-NA	7.519	HIGH	NA-NA	7	6.698	83483/88747	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
chng_flashed/SRR1950740.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.80	99.28	99.74-99.87	1.864	1.864	1.77-1.97	2	2.026	5918/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950736.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.77	99.77	NA-NA	6.340	HIGH	NA-NA	6	5.781	6886/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950705.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.75	99.00	99.66-99.83	1.526	1.526	1.45-1.62	2	1.692	5416/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950787.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.74	98.98	99.68-99.82	1.522	1.522	1.44-1.60	2	1.540	5382/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950722.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.72	98.82	99.66-99.81	1.365	1.365	1.29-1.43	2	1.370	5110/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950784.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.72	98.85	99.64-99.79	1.411	1.411	1.34-1.48	2	1.459	5174/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950691.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.72	99.72	NA-NA	6.309	HIGH	NA-NA	5	5.654	6769/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950742.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.71	99.71	NA-NA	4.740	HIGH	NA-NA	4	4.210	6753/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950741.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.69	98.83	99.63-99.77	1.412	1.412	1.33-1.47	2	1.377	5140/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950731.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.68	98.41	99.58-99.77	1.091	1.091	1.04-1.15	1	1.094	4503/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950712.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.68	98.63	99.59-99.78	1.249	1.249	1.18-1.31	2	1.247	4825/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950779.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.67	99.67	NA-NA	4.917	HIGH	NA-NA	5	4.385	6683/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950780.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.67	99.15	99.59-99.74	1.842	1.842	1.74-1.94	2	1.832	5669/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950732.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.67	98.82	99.60-99.75	1.418	1.418	1.35-1.47	2	1.497	5115/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950726.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.64	99.07	99.56-99.71	1.761	1.761	1.66-1.87	2	1.747	5533/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950739.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.64	98.65	99.55-99.74	1.298	1.298	1.22-1.36	2	1.273	4856/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950693.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.63	99.63	NA-NA	5.851	HIGH	NA-NA	4	4.998	6594/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950756.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.62	99.62	NA-NA	3.812	HIGH	NA-NA	3	3.282	6564/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950701.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.60	99.60	NA-NA	4.958	HIGH	NA-NA	4	4.177	6537/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950759.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.57	98.61	99.48-99.66	1.321	1.321	1.24-1.38	2	1.413	4794/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950755.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.56	99.56	NA-NA	4.816	HIGH	NA-NA	4	4.071	6452/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950699.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.56	99.56	NA-NA	5.495	HIGH	NA-NA	4	4.461	6448/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950709.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.56	98.94	99.48-99.63	1.703	1.703	1.62-1.80	2	1.644	5318/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950733.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.55	98.66	99.47-99.64	1.382	1.382	1.30-1.45	2	1.299	4873/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950703.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.48	99.48	NA-NA	4.149	HIGH	NA-NA	3	3.396	6298/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950710.fastq	../GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.48	98.72	99.46-99.50	1.516	1.516	1.49-1.54	2	1.582	59563/88747	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
chng_flashed/SRR1950707.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.48	99.48	NA-NA	4.089	HIGH	NA-NA	3	2.799	6283/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950721.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.43	97.58	99.27-99.57	0.800	0.800	0.74-0.85	1	0.716	3464/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950687.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.40	98.56	99.32-99.50	1.429	1.429	1.35-1.50	2	1.278	4714/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950703.fastq	../GCA_000181695.1_ASM18169v1_genomic.fna.gz	99.37	99.37	NA-NA	5.137	HIGH	NA-NA	5	3.978	72880/88747	AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence
chng_flashed/SRR1950785.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.33	97.47	99.17-99.44	0.797	0.797	0.75-0.85	1	0.674	3345/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950697.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.32	96.82	99.13-99.51	0.590	0.590	0.54-0.64	1	0.499	2712/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950758.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.30	96.41	99.06-99.59	0.499	0.499	0.44-0.54	1	0.432	2382/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_flashed/SRR1950725.fastq	/home/jshaw/scratch/DATABASES/refseq/fungi/GCF_003290485.1/GCF_003290485.1_ASM329048v1_genomic.fna.gz	99.27	97.38	99.10-99.39	0.780	0.780	0.73-0.83	1	0.656	3248/7394	NC_040193.1 Malassezia restricta chromosome I, complete sequence
