Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/020/605/GCA_000020605.1_genomic.fna.gz	6.6365	5.9731	98.50	642.000	NA-NA	HIGH	NA-NA	642	453.601	8782/14021	98.50	777	CP001107.1 [Eubacterium] rectale ATCC 33656 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/205/GCF_000154205.1_genomic.fna.gz	5.7992	7.1401	99.85	561.000	NA-NA	HIGH	NA-NA	561	519.973	18820/19703	99.85	0	NZ_DS362249.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_32, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/525/GCF_000154525.1_genomic.fna.gz	5.2410	5.4830	98.61	507.000	NA-NA	HIGH	NA-NA	507	498.861	10924/16882	98.61	972	NZ_DS499677.1 Bacteroides stercoris ATCC 43183 Scfld_02_16, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/158/035/GCF_000158035.1_genomic.fna.gz	4.6414	8.3195	98.71	449.000	NA-NA	HIGH	NA-NA	449	444.442	19517/29217	98.71	177	NZ_EQ973551.1 Bacteroides cellulosilyticus DSM 14838 Scfld188, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/723/465/GCF_000723465.1_genomic.fna.gz	3.7317	2.8902	98.29	361.000	NA-NA	HIGH	NA-NA	361	348.418	7248/12361	98.29	143	NZ_HF545616.1 Ruminococcus bicirculans strain 80/3 chromosome I, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/465/GCF_000154465.1_genomic.fna.gz	3.7214	2.4765	99.06	360.000	NA-NA	HIGH	NA-NA	360	364.574	7992/10726	99.06	168	NZ_DS499581.1 Alistipes putredinis DSM 17216 Scfld_02_11, whole genome shotgun sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/075/GCF_000210075.1_genomic.fna.gz	3.6904	5.7540	96.49	357.000	NA-NA	HIGH	NA-NA	357	351.821	8383/25349	96.49	6843	NC_021017.1 Bacteroides xylanisolvens XB1A, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/012/825/GCF_000012825.1_genomic.fna.gz	3.5043	4.7206	97.77	339.000	NA-NA	HIGH	NA-NA	339	339.578	10510/21133	97.77	6703	NC_009614.1 Bacteroides vulgatus ATCC 8482, complete sequence
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/314/995/GCF_001314995.1_genomic.fna.gz	3.4526	5.8304	97.64	334.000	NA-NA	HIGH	NA-NA	334	356.287	13074/27397	97.64	6246	NZ_CP012938.1 Bacteroides ovatus strain ATCC 8483 chromosome, complete genome
ERR7738937_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/575/GCF_000210575.1_genomic.fna.gz	3.0391	2.9840	98.80	294.000	NA-NA	HIGH	NA-NA	294	320.580	10745/15601	98.80	320	NC_021030.1 Alistipes shahii WAL 8301, complete sequence
