Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/431/835/GCA_000431835.1_genomic.fna.gz	20.7846	17.2062	98.68	316.000	NA-NA	HIGH	NA-NA	316	308.587	6433/9700	98.68	4	HF987897.1 Succinatimonas sp. CAG:777 genomic scaffold, scf1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	7.4325	13.7428	98.75	113.000	NA-NA	HIGH	NA-NA	113	89.439	14378/21223	98.75	1	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/005/601/135/GCF_005601135.1_genomic.fna.gz	5.4592	4.8924	96.14	83.000	NA-NA	HIGH	NA-NA	83	83.151	2909/9865	96.14	37	NZ_CP039381.1 Ruminococcus sp. JE7A12 chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/055/GCA_000435055.1_genomic.fna.gz	5.3935	3.9204	98.58	82.000	NA-NA	HIGH	NA-NA	82	80.794	5464/8524	98.58	42	FR879670.1 Clostridium sp. CAG:138 genomic scaffold, scf1, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/849/695/GCF_002849695.1_genomic.fna.gz	4.6700	9.1161	98.58	71.000	NA-NA	HIGH	NA-NA	71	70.794	13825/21530	98.58	322	NZ_CP018937.1 Bacteroides fragilis strain Q1F2 chromosome, complete genome
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/004/557/245/GCA_004557245.1_genomic.fna.gz	3.2229	2.5328	96.81	49.000	NA-NA	HIGH	NA-NA	49	47.948	3409/9319	96.81	315	SFEL01000007.1 MAG: Clostridiales bacterium isolate W0P31.004 Contig100, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/020/225/GCF_000020225.1_genomic.fna.gz	3.0256	2.9602	98.27	46.000	NA-NA	HIGH	NA-NA	46	46.239	6652/11412	98.27	2	NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/003/269/275/GCF_003269275.1_genomic.fna.gz	2.1048	1.7911	99.34	32.000	NA-NA	HIGH	NA-NA	32	33.367	8058/9898	99.34	1	NZ_QLTS01000001.1 Phascolarctobacterium faecium DSM 14760 Ga0215641_101, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/001/940/855/GCA_001940855.1_genomic.fna.gz	1.7101	1.7887	98.30	26.000	NA-NA	HIGH	NA-NA	26	23.681	7204/12273	98.30	295	MSGS01000001.1 MAG: Christensenellaceae bacterium Phil1 707_L1_merged_contig_10261, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/153/905/GCF_000153905.1_genomic.fna.gz	1.6444	2.1894	98.55	25.000	NA-NA	HIGH	NA-NA	25	24.312	9638/15176	98.55	333	NZ_DS264342.1 Blautia obeum ATCC 29174 Scfld0253, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/544/705/GCA_900544705.1_genomic.fna.gz	1.4470	1.0952	99.02	22.000	NA-NA	HIGH	NA-NA	22	21.567	6571/8905	99.02	48	UQWH01000001.1 uncultured Clostridiales bacterium isolate UMGS700 genome assembly, contig: NODE_79_length_101112_cov_65.497640, whole genome shotgun sequence
reads/ERR7739005_subsamp0.10_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/432/575/GCA_000432575.1_genomic.fna.gz	1.3813	0.5651	99.12	21.000	NA-NA	HIGH	NA-NA	21	21.135	3709/4872	99.12	0	HF996774.1 Clostridium sp. CAG:762 genomic scaffold, scf1, whole genome shotgun sequence
