Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
soil/SRR5381886_1.fastq.gz	IMGVR_all_nucleotides-high_confidence.fna.gz	16.6432	0.0988	95.03	1.000	NA-NA	LOW	NA-NA	1	1.214	14/68	95.03	IMGVR_UViG_2667527546_000002|2667527546|2667542006|2501876-2520374
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/014/381/105/GCA_014381105.1_genomic.fna.gz	13.7550	4.5568	98.27	0.826	98.05-98.46	0.826	0.75-0.92	1	1.557	1505/4522	96.51	JACMIO010000111.1 MAG: bacterium isolate ES-bin-123 ES-bin-123-contig-k141_10063097, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/009/708/035/GCF_009708035.1_genomic.fna.gz	3.9528	4.9555	95.63	0.237	95.01-96.13	0.237	0.19-0.28	1	1.150	919/16943	91.03	NZ_WMBQ01000001.1 Hyphomicrobium album strain XQ2 xq_1, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/023/387/735/GCA_023387735.1_genomic.fna.gz	3.7958	7.4781	95.47	0.228	95.02-95.90	0.228	0.20-0.27	1	1.171	1309/26431	90.76	JAEWHP010000010.1 MAG: Proteobacteria bacterium isolate OH_PBlB_71 k127_1011274, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/003/242/645/GCA_003242645.1_genomic.fna.gz	3.4782	4.6777	98.56	0.209	98.20-98.94	0.209	0.18-0.23	1	1.112	2213/18006	93.46	QGVC01000692.1 MAG: Proteobacteria bacterium isolate ZC4RG25 NODE_100034_length_1626_cov_2.428953, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/022/844/275/GCA_022844275.1_genomic.fna.gz	3.3526	6.5339	95.26	0.201	94.85-95.73	0.201	0.17-0.23	1	1.127	1089/26282	90.24	JALHMB010000001.1 MAG: Hyphomicrobiaceae bacterium isolate Bin_29_2 c_000000000010, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/019/679/455/GCF_019679455.1_genomic.fna.gz	3.0401	3.8692	95.58	0.183	95.03-96.30	0.183	0.14-0.22	1	1.135	728/17267	90.29	NZ_JAIEZQ010000001.1 Nocardioides sp. WL0053 NODE_1_length_1786811_cov_46.119113, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/220/175/GCF_000220175.1_genomic.fna.gz	2.9872	1.5406	97.89	0.179	97.08-98.58	0.179	0.14-0.23	1	1.103	603/6947	92.42	NZ_AFPU01000001.1 Nitrosarchaeum koreense MY1 MY1, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/014/523/515/GCA_014523515.1_genomic.fna.gz	2.9655	2.5523	96.43	0.178	95.76-97.20	0.178	0.14-0.22	1	1.091	605/11162	91.03	JAATVJ010000084.1 Nitrososphaerales archaeon TH1177 k141_10102921, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/014/523/485/GCA_014523485.1_genomic.fna.gz	2.8469	2.1519	97.90	0.171	97.21-98.44	0.171	0.14-0.21	1	1.095	835/10004	92.30	JAATVK010000066.1 Nitrososphaerales archaeon TH5894 k141_10342407, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/900/113/175/GCF_900113175.1_genomic.fna.gz	2.7787	3.0150	99.34	0.167	98.93-99.83	0.167	0.14-0.19	1	1.091	1871/14610	93.59	NZ_FOOK01000061.1 Planifilum fulgidum strain DSM 44945, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/021/323/355/GCA_021323355.1_genomic.fna.gz	2.7444	3.5049	96.27	0.165	95.65-96.96	0.165	0.13-0.21	1	1.089	821/17169	90.66	JAJONK010000116.1 MAG: Deltaproteobacteria bacterium isolate C_No_T20_B_bin.39 scaffold_10010, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/003/574/785/GCA_003574785.1_genomic.fna.gz	2.6600	6.3058	95.02	0.160	94.48-95.75	0.160	0.12-0.19	1	1.112	989/31849	89.40	QORU01000001.1 Phyllobacteriaceae bacterium SYSU D60010 s.1559_Contig1, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/003/242/735/GCA_003242735.1_genomic.fna.gz	2.2602	2.6913	96.58	0.136	95.74-97.37	0.136	0.10-0.18	1	1.116	709/16037	90.43	QGVH01000010.1 MAG: bacterium isolate ZC4RG16 NODE_10_length_102482_cov_17.351688, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/002/028/545/GCF_002028545.1_genomic.fna.gz	1.9907	2.4909	97.11	0.120	96.29-97.85	0.120	0.09-0.15	1	1.115	786/16789	90.60	NZ_MWPQ01000040.1 Nitrobacter vulgaris strain Ab1 NvAb1_1, whole genome shotgun sequence
