Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
soil/SRR5262247_1.fastq.gz	refseq/bacteria/GCF_001440475.1/GCF_001440475.1_ASM144047v1_genomic.fna.gz	100.0000	100.0000	95.56	0.473	95.38-95.79	0.473	0.43-0.51	1	1.751	3717/38198	92.76	NZ_LLYB01000001.1 Bradyrhizobium lablabi strain CCBAU 23086 C4762, whole genome shotgun sequence
sludge/SRR2119803_1.fastq.gz	refseq/viral/GCF_001505215.1/GCF_001505215.1_ViralProj307948_genomic.fna.gz	94.0467	15.4899	96.15	26.000	NA-NA	HIGH	NA-NA	26	20.807	83/280	96.15	NC_028809.1 Pseudomonas phage PaMx74, partial genome
sludge/SRR2119803_1.fastq.gz	refseq/bacteria/GCF_001632805.1/GCF_001632805.1_ASM163280v1_genomic.fna.gz	2.8189	39.8266	96.50	0.779	96.40-96.65	0.779	0.72-0.82	1	1.458	3964/21743	94.66	NZ_CP007220.1 Mycobacteroides chelonae CCUG 47445 chromosome, complete genome
sludge/SRR2119803_1.fastq.gz	refseq/bacteria/GCF_027570695.1/GCF_027570695.1_ASM2757069v1_genomic.fna.gz	1.0590	19.0771	98.54	0.293	98.33-98.76	0.293	0.27-0.31	1	1.159	4539/27662	94.34	NZ_CP107719.1 Mycolicibacterium fortuitum strain MF GZ001 chromosome, complete genome
sludge/SRR2119803_1.fastq.gz	refseq/bacteria/GCF_000344135.1/GCF_000344135.1_ASM34413v1_genomic.fna.gz	0.8022	10.0623	98.26	0.222	97.86-98.65	0.222	0.19-0.25	1	1.130	2273/19254	93.34	NZ_BAOP01000115.1 Gordonia malaquae NBRC 108250, whole genome shotgun sequence
sludge/SRR2119803_1.fastq.gz	refseq/bacteria/GCF_013408555.1/GCF_013408555.1_ASM1340855v1_genomic.fna.gz	0.6693	6.3302	95.28	0.185	94.56-95.93	0.185	0.14-0.23	1	1.093	559/14482	90.03	NZ_JACBZN010000001.1 Aeromicrobium tamlense strain DSM 19087 Ga0104580_01, whole genome shotgun sequence
sludge/SRR2119803_1.fastq.gz	refseq/bacteria/GCF_000247715.1/GCF_000247715.1_ASM24771v1_genomic.fna.gz	0.2788	4.5774	97.87	0.077	96.98-98.63	0.077	0.06-0.10	1	1.036	971/24908	90.06	NC_016906.1 Gordonia polyisoprenivorans VH2, complete sequence
sludge/SRR2119803_1.fastq.gz	refseq/bacteria/GCF_008727715.1/GCF_008727715.1_ASM872771v1_genomic.fna.gz	0.1671	2.8274	96.84	0.046	95.30-98.87	0.046	0.02-0.07	1	1.020	444/25935	87.70	NZ_CP044218.1 Mesorhizobium terrae strain NIBRBAC000500504 chromosome, complete genome
sludge/SRR2119803_1.fastq.gz	refseq/bacteria/GCF_019141545.1/GCF_019141545.1_ASM1914154v1_genomic.fna.gz	0.1580	1.8090	96.27	0.044	94.12-97.38	0.044	0.03-0.08	1	1.017	235/17396	87.04	NZ_CP065892.1 Paracoccus marcusii strain CP157 chromosome, complete genome
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_009708035.1/GCF_009708035.1_ASM970803v1_genomic.fna.gz	16.4169	15.8786	95.56	0.248	95.00-96.04	0.248	0.21-0.29	1	1.171	936/16943	91.08	NZ_WMBQ01000001.1 Hyphomicrobium album strain XQ2 xq_1, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_019679455.1/GCF_019679455.1_ASM1967945v1_genomic.fna.gz	11.9406	11.7245	95.65	0.181	95.10-96.29	0.181	0.14-0.22	1	1.154	739/17267	90.33	NZ_JAIEZQ010000001.1 Nocardioides jiangsuensis strain WL0053 NODE_1_length_1786811_cov_46.119113, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/archaea/GCF_000220175.1/GCF_000220175.1_ASM22017v1_genomic.fna.gz	11.8601	4.7189	97.89	0.179	97.08-98.58	0.179	0.14-0.23	1	1.103	603/6947	92.42	NZ_AFPU01000001.1 Nitrosarchaeum koreense MY1 MY1, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_900113175.1/GCF_900113175.1_IMG-taxon_2615840724_annotated_assembly_genomic.fna.gz	11.0323	9.2349	99.34	0.167	98.93-99.83	0.167	0.14-0.19	1	1.091	1871/14610	93.59	NZ_FOOK01000061.1 Planifilum fulgidum strain DSM 44945, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_009811375.1/GCF_009811375.1_ASM981137v1_genomic.fna.gz	7.9089	13.1141	96.56	0.120	95.87-97.33	0.120	0.10-0.15	1	1.098	1118/28650	90.07	NZ_BKDH01000001.1 Variovorax boronicumulans strain HAB30 Contig01, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_002028545.1/GCF_002028545.1_ASM202854v1_genomic.fna.gz	7.8926	7.6190	97.13	0.119	96.41-97.85	0.119	0.09-0.15	1	1.130	791/16789	90.61	NZ_MWPQ01000040.1 Nitrobacter vulgaris strain Ab1 NvAb1_1, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_003001905.1/GCF_003001905.1_ASM300190v1_genomic.fna.gz	7.3226	6.5009	97.75	0.111	97.03-98.38	0.111	0.09-0.14	1	1.081	817/15307	90.98	NZ_PVNE01000001.1 Planifilum fimeticola strain DSM 44946 Ga0180967_101, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_017161365.1/GCF_017161365.1_ASM1716136v1_genomic.fna.gz	7.1824	7.7977	96.74	0.109	95.83-97.69	0.109	0.08-0.15	1	1.075	689/18219	89.97	NZ_CP039124.1 Thermobispora bispora strain ZC4 chromosome, complete genome
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_003386795.1/GCF_003386795.1_ASM338679v1_genomic.fna.gz	6.4709	7.0024	96.33	0.098	95.34-97.51	0.098	0.06-0.13	1	1.073	564/18803	89.30	NZ_QTUC01000001.1 Thermasporomyces composti strain DSM 22891 Ga0197492_11, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_003269955.1/GCF_003269955.1_ASM326995v1_genomic.fna.gz	3.2053	4.2193	97.80	0.049	96.64-99.38	0.049	0.03-0.07	1	1.065	556/22843	88.70	NZ_LWAG01000056.1 Priestia endophytica strain 3617_2C map unlocalized plasmid pBEH1 3617_2C_contig_58, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_020075705.1/GCF_020075705.1_ASM2007570v1_genomic.fna.gz	2.6879	3.9383	96.19	0.041	94.68-98.26	0.041	0.02-0.06	1	1.017	302/24574	86.77	NZ_JAIQUM010000001.1 Metabacillus rhizolycopersici strain DBTR6 ZB100000, whole genome shotgun sequence
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_019272935.1/GCF_019272935.1_ASM1927293v1_genomic.fna.gz	2.6609	2.6101	98.85	0.040	97.36-101.10	0.040	0.02-0.06	1	1.024	458/16183	89.14	NZ_CP040553.1 Parageobacillus caldoxylosilyticus strain ER4B chromosome, complete genome
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_008370715.1/GCF_008370715.1_ASM837071v1_genomic.fna.gz	1.8021	3.0054	96.02	0.027	93.86-96.26	0.027	0.02-0.05	1	1.022	225/28704	85.52	NZ_CP034725.1 Pseudomonas brassicacearum strain 3Re2-7 chromosome, complete genome
soil/SRR5381886_1.fastq.gz	refseq/bacteria/GCF_900104905.1/GCF_900104905.1_IMG-taxon_2639762619_annotated_assembly_genomic.fna.gz	1.6166	2.6359	97.66	0.024	95.45-98.88	0.024	0.02-0.05	1	1.045	336/28183	86.69	NZ_FNTC01000002.1 Pseudomonas jessenii strain LMG 21605, whole genome shotgun sequence
water/SRR3471267_1.fastq.gz	refseq/bacteria/GCF_000195975.1/GCF_000195975.1_ASM19597v1_genomic.fna.gz	92.4139	95.9811	100.00	414.000	NA-NA	HIGH	NA-NA	414	442.031	10364/10374	100.00	NC_005070.1 Parasynechococcus marenigrum WH 8102, complete sequence
water/SRR3471267_1.fastq.gz	refseq/viral/GCF_000889515.1/GCF_000889515.1_ViralProj61009_genomic.fna.gz	1.7858	0.1512	96.98	8.000	NA-NA	HIGH	NA-NA	8	9.054	336/868	96.98	NC_014765.1 Bathycoccus sp. RCC1105 virus BpV1, complete genome
water/SRR3471267_1.fastq.gz	refseq/bacteria/GCF_001281385.1/GCF_001281385.1_ASM128138v1_genomic.fna.gz	1.5626	1.1427	98.95	7.000	NA-NA	HIGH	NA-NA	7	8.163	5367/7447	98.95	NZ_CP006911.1 Candidatus Pseudothioglobus singularis PS1 chromosome, complete genome
water/SRR3471267_1.fastq.gz	refseq/bacteria/GCF_900107355.1/GCF_900107355.1_IMG-taxon_2693429861_annotated_assembly_genomic.fna.gz	1.3393	1.8819	99.61	6.000	NA-NA	HIGH	NA-NA	6	7.126	12717/14336	99.61	NZ_FNPR01000018.1 Lentibacter algarum strain DSM 24677, whole genome shotgun sequence
water/SRR3471267_1.fastq.gz	refseq/viral/GCF_001019995.1/GCF_001019995.1_ViralProj285603_genomic.fna.gz	0.2773	0.0226	99.13	1.242	98.83-99.51	1.242	1.01-1.47	2	2.483	453/822	98.10	NC_027132.1 Synechococcus phage ACG-2014i isolate Syn7803US120, complete genome
water/SRR3471267_1.fastq.gz	refseq/viral/GCF_000905875.1/GCF_000905875.1_ViralProj192868_genomic.fna.gz	0.2717	0.0049	97.51	1.217	96.66-98.55	1.217	0.67-1.90	2	2.283	60/182	96.48	NC_020483.1 Pelagibacter phage HTVC019P, complete genome
water/SRR3471267_1.fastq.gz	refseq/bacteria/GCF_012276695.1/GCF_012276695.1_ASM1227669v1_genomic.fna.gz	0.2428	0.1415	96.87	1.088	96.63-97.08	1.088	0.96-1.22	2	2.431	1464/5743	95.69	NZ_CP038852.1 Candidatus Pelagibacter giovannonii strain NP1 chromosome, complete genome
