Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
new_soil_study/SRR25996604_1.fastq.gz	refseq/bacteria/GCF_009176665.1/GCF_009176665.1_ASM917666v1_genomic.fna.gz	52.3668	0.1317	95.29	1.321	95.18-95.41	0.967	0.90-1.02	2	2.171	5139/36047	93.91	NZ_AP021854.1 Bradyrhizobium ottawaense strain SG09 chromosome, complete genome
new_soil_study/SRR25996604_1.fastq.gz	refseq/bacteria/GCF_900129295.1/GCF_900129295.1_IMG-taxon_2582580745_annotated_assembly_genomic.fna.gz	47.6332	0.0664	95.48	1.201	95.33-95.64	0.880	0.80-0.93	1	1.685	2850/20111	93.89	NZ_FQUU01000055.1 Flavisolibacter ginsengisoli DSM 18119, whole genome shotgun sequence
new_soil_study/SRR25996618_1.fastq.gz	refseq/bacteria/GCF_009176665.1/GCF_009176665.1_ASM917666v1_genomic.fna.gz	51.1231	0.1331	95.59	1.410	95.43-95.70	1.032	0.96-1.10	2	2.185	5891/36047	94.32	NZ_AP021854.1 Bradyrhizobium ottawaense strain SG09 chromosome, complete genome
new_soil_study/SRR25996618_1.fastq.gz	refseq/bacteria/GCF_012913625.1/GCF_012913625.1_ASM1291362v1_genomic.fna.gz	48.8769	0.0984	96.18	1.348	96.06-96.31	0.987	0.93-1.04	1	1.897	5402/28085	94.82	NZ_CP051772.1 Mesorhizobium japonicum R7A chromosome, complete genome
new_soil_study/SRR25996607_1.fastq.gz	refseq/bacteria/GCF_009176665.1/GCF_009176665.1_ASM917666v1_genomic.fna.gz	34.9904	0.1386	95.54	1.429	95.40-95.67	1.046	0.97-1.12	2	2.249	5846/36047	94.30	NZ_AP021854.1 Bradyrhizobium ottawaense strain SG09 chromosome, complete genome
new_soil_study/SRR25996607_1.fastq.gz	refseq/bacteria/GCF_900129295.1/GCF_900129295.1_IMG-taxon_2582580745_annotated_assembly_genomic.fna.gz	32.7077	0.0718	95.43	1.336	95.31-95.61	0.978	0.89-1.04	1	1.742	2986/20111	94.03	NZ_FQUU01000055.1 Flavisolibacter ginsengisoli DSM 18119, whole genome shotgun sequence
new_soil_study/SRR25996607_1.fastq.gz	refseq/bacteria/GCF_012913625.1/GCF_012913625.1_ASM1291362v1_genomic.fna.gz	32.3019	0.0990	95.41	1.319	95.27-95.54	0.966	0.91-1.04	1	1.865	4149/28085	94.02	NZ_CP051772.1 Mesorhizobium japonicum R7A chromosome, complete genome
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_007035805.1/GCF_007035805.1_ASM703580v1_genomic.fna.gz	10.4724	0.4141	99.06	7.077	NA-NA	HIGH	NA-NA	6	6.933	15190/20329	99.06	NZ_AP019630.1 Enterobacter asburiae strain 17Nkhm-UP2 chromosome, complete genome
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_000019505.1/GCF_000019505.1_ASM1950v1_genomic.fna.gz	7.2381	0.4784	98.50	4.891	NA-NA	HIGH	NA-NA	5	5.718	21323/34082	98.50	NC_010508.1 Burkholderia orbicola MC0-3 chromosome 1, complete sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_000378125.1/GCF_000378125.1_ASM37812v1_genomic.fna.gz	4.5313	0.1632	98.46	3.062	NA-NA	HIGH	NA-NA	3	3.609	11707/18921	98.46	NZ_KB899241.1 Rudaea cellulosilytica DSM 22992 F455DRAFT_scaffold00001.1, whole genome shotgun sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_004551575.1/GCF_004551575.1_ASM455157v1_genomic.fna.gz	3.8134	0.1467	98.31	2.577	NA-NA	HIGH	NA-NA	3	3.195	11774/19967	98.31	NZ_CP037883.1 Stenotrophomonas indicatrix strain DAIF1 chromosome, complete genome
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_011682055.1/GCF_011682055.1_ASM1168205v1_genomic.fna.gz	3.7227	0.2177	96.67	2.516	NA-NA	HIGH	NA-NA	4	5.210	10665/30437	96.67	NZ_JAAQOM010000001.1 Telluria antibiotica strain TW-1 contig1, whole genome shotgun sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_900094565.1/GCF_900094565.1_IMG-taxon_2615840626_annotated_assembly_genomic.fna.gz	3.1205	0.2050	98.50	2.109	98.44-98.54	1.544	1.50-1.60	2	2.578	16967/34127	97.77	NZ_FMAF01000078.1 Rhizobium lusitanum strain P1-7, whole genome shotgun sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_900182655.1/GCF_900182655.1_IMG-taxon_2724679795_annotated_assembly_genomic.fna.gz	3.0212	0.1298	95.35	2.042	95.26-95.45	1.495	1.39-1.58	2	2.442	4008/22397	94.60	NZ_FXTC01000001.1 Chryseobacterium rhizoplanae strain DSM 29371, whole genome shotgun sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_002055515.1/GCF_002055515.1_ASM205551v1_genomic.fna.gz	3.0150	0.1029	97.58	2.037	97.48-97.66	1.492	1.40-1.57	2	2.539	5982/16349	96.81	NZ_CP020000.1 Acinetobacter calcoaceticus strain CA16 chromosome, complete genome
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_016905005.1/GCF_016905005.1_ASM1690500v1_genomic.fna.gz	2.8250	0.1135	98.44	1.909	98.38-98.50	1.398	1.34-1.45	2	2.421	9788/20913	97.58	NZ_JADIKC010000010.1 Dyella kyungheensis strain THG-B117 scaffold10_size193552, whole genome shotgun sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_009176665.1/GCF_009176665.1_ASM917666v1_genomic.fna.gz	2.7908	0.1954	99.07	1.886	99.02-99.12	1.381	1.34-1.42	2	2.837	20553/36047	98.20	NZ_AP021854.1 Bradyrhizobium ottawaense strain SG09 chromosome, complete genome
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_003330785.1/GCF_003330785.1_ASM333078v1_genomic.fna.gz	2.7806	0.1731	97.76	1.879	97.69-97.83	1.376	1.32-1.43	2	2.412	12086/32226	96.89	NZ_CP024934.1 Paraburkholderia graminis strain PHS1 chromosome PHS1_A, complete sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_012913625.1/GCF_012913625.1_ASM1291362v1_genomic.fna.gz	2.7335	0.1480	98.38	1.847	98.32-98.44	1.353	1.30-1.41	2	2.630	12742/28085	97.48	NZ_CP051772.1 Mesorhizobium japonicum R7A chromosome, complete genome
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_000383275.1/GCF_000383275.1_ASM38327v1_genomic.fna.gz	2.6841	0.1643	97.39	1.814	97.33-97.46	1.328	1.27-1.38	2	2.190	10439/31787	96.47	NZ_KB911034.1 Paraburkholderia caledonica strain 376MFSha3.1 H281DRAFT_scaffold00001.1, whole genome shotgun sequence
new_soil_study/SRR25996616_1.fastq.gz	refseq/bacteria/GCF_001598415.1/GCF_001598415.1_ASM159841v1_genomic.fna.gz	2.5820	0.1119	98.21	1.745	98.14-98.28	1.278	1.23-1.34	2	3.222	9761/22728	97.31	NZ_BCYX01000001.1 Sphingomonas mali NBRC 15500, whole genome shotgun sequence
