Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	25.1276	9.6129	98.94	4228.766	NA-NA	HIGH	NA-NA	3767	3252.486	284/395	98.94	IMGVR_UViG_3300045988_011025|3300045988|Ga0495776_018947
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	5.2630	0.2705	96.01	885.717	NA-NA	HIGH	NA-NA	789	823.133	15/53	96.01	IMGVR_UViG_3300006201_000159|3300006201|Ga0081180_1001215
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	4.5226	0.3135	99.56	761.111	NA-NA	HIGH	NA-NA	678	581.902	61/70	99.56	IMGVR_UViG_7000000100_000040|7000000100|SRS018817_WUGC_scaffold_20896
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	4.4225	0.9024	97.34	744.272	NA-NA	HIGH	NA-NA	663	574.730	89/205	97.34	IMGVR_UViG_3300006523_000008|3300006523|Ga0101039_100344
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	2.7416	0.1406	96.33	461.381	NA-NA	HIGH	NA-NA	411	417.188	16/51	96.33	IMGVR_UViG_3300029490_000142|3300029490|Ga0244171_102740
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	2.7015	0.1454	100.00	454.646	NA-NA	HIGH	NA-NA	405	404.773	66/66	100.00	IMGVR_UViG_7000000036_000058|7000000036|SRS049164_WUGC_scaffold_73047
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	2.6082	0.3349	95.50	438.930	NA-NA	HIGH	NA-NA	391	385.733	30/125	95.50	IMGVR_UViG_3300008360_000272|3300008360|Ga0114875_1001107
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	2.5815	0.2275	96.38	434.439	NA-NA	HIGH	NA-NA	387	396.500	22/69	96.38	IMGVR_UViG_3300029374_000102|3300029374|Ga0243945_1001315
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	2.5548	0.3625	99.92	429.949	NA-NA	HIGH	NA-NA	383	385.763	118/121	99.92	IMGVR_UViG_3300045988_086986|3300045988|Ga0495776_038333
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	2.3680	0.1203	96.74	398.517	NA-NA	HIGH	NA-NA	355	325.737	19/53	96.74	IMGVR_UViG_3300014752_000092|3300014752|Ga0169821_100084|2-11662
mouse/SRR10078214_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/011/065/GCF_000011065.1_genomic.fna.gz	2.0879	57.2366	98.59	351.368	NA-NA	HIGH	NA-NA	313	311.338	17224/26733	98.59	NC_004663.1 Bacteroides thetaiotaomicron VPI-5482, complete sequence
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	2.0545	1.1317	95.32	345.755	NA-NA	HIGH	NA-NA	308	308.706	119/526	95.32	IMGVR_UViG_3300014934_000110|3300014934|Ga0169773_100018|14713-141167
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.9611	0.2432	95.35	330.039	NA-NA	HIGH	NA-NA	294	295.000	27/118	95.35	IMGVR_UViG_3300045988_187413|3300045988|Ga0495776_101049|5977-34448
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.9278	0.1583	95.50	324.426	NA-NA	HIGH	NA-NA	289	269.944	18/75	95.50	IMGVR_UViG_7000000296_000093|7000000296|SRS024009_Baylor_scaffold_686
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.9211	0.1219	98.58	323.304	NA-NA	HIGH	NA-NA	288	292.867	45/70	98.58	IMGVR_UViG_7000000434_000115|7000000434|SRS014287_WUGC_scaffold_39436
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.8410	0.1331	98.52	309.833	NA-NA	HIGH	NA-NA	276	264.824	51/81	98.52	IMGVR_UViG_3300029622_000303|3300029622|Ga0245124_1002559
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.8344	0.2549	96.73	308.710	NA-NA	HIGH	NA-NA	275	273.545	55/154	96.73	IMGVR_UViG_7000000532_000065|7000000532|SRS011529_WUGC_scaffold_9616
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.8210	0.4917	96.56	306.465	NA-NA	HIGH	NA-NA	273	261.387	93/275	96.56	IMGVR_UViG_3300045988_169434|3300045988|Ga0495776_187903
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.8144	0.1169	97.91	305.342	NA-NA	HIGH	NA-NA	272	268.654	26/50	97.91	IMGVR_UViG_3300029044_000242|3300029044|Ga0169677_1001572
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.8077	0.1117	99.95	304.220	NA-NA	HIGH	NA-NA	271	268.885	61/62	99.95	IMGVR_UViG_7000000531_000132|7000000531|SRS049959_WUGC_scaffold_60116
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7944	0.4619	97.06	301.975	NA-NA	HIGH	NA-NA	269	270.990	101/255	97.06	IMGVR_UViG_3300045988_183316|3300045988|Ga0495776_091116
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7944	0.1022	99.84	301.975	NA-NA	HIGH	NA-NA	269	272.169	59/62	99.84	IMGVR_UViG_7000000624_000105|7000000624|SRS024435_LANL_scaffold_29354
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7677	0.1280	99.48	297.484	NA-NA	HIGH	NA-NA	265	264.088	57/67	99.48	IMGVR_UViG_3300008149_000033|3300008149|Ga0114293_101042
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7677	0.3505	97.89	297.484	NA-NA	HIGH	NA-NA	265	260.009	106/205	97.89	IMGVR_UViG_3300014571_000010|3300014571|Ga0134369_100367
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7610	0.1301	95.74	296.362	NA-NA	HIGH	NA-NA	264	268.286	21/81	95.74	IMGVR_UViG_3300029703_000224|3300029703|Ga0245234_101481|1-16962
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7410	0.4975	96.33	292.994	NA-NA	HIGH	NA-NA	261	261.776	85/271	96.33	IMGVR_UViG_3300045988_168885|3300045988|Ga0495776_033013
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7410	0.2390	99.53	292.994	NA-NA	HIGH	NA-NA	261	259.821	134/155	99.53	IMGVR_UViG_3300029421_000012|3300029421|Ga0243844_101136
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7210	0.0916	95.75	289.626	NA-NA	HIGH	NA-NA	258	266.923	13/50	95.75	IMGVR_UViG_3300029335_000049|3300029335|Ga0243762_103593
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7143	0.1143	99.77	288.504	NA-NA	HIGH	NA-NA	257	262.321	53/57	99.77	IMGVR_UViG_3300029875_000152|3300029875|Ga0245324_101837
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.7143	0.1730	100.00	288.504	NA-NA	HIGH	NA-NA	257	258.439	98/98	100.00	IMGVR_UViG_3300000278_000005|3300000278|EM209_1000578
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	1.6810	0.5015	95.01	282.891	NA-NA	HIGH	NA-NA	252	252.985	67/327	95.01	IMGVR_UViG_7000000459_000030|7000000459|SRS012902_Baylor_scaffold_933
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	0.3335	0.0173	96.82	56.129	NA-NA	HIGH	NA-NA	50	41.136	22/60	96.82	IMGVR_UViG_3300013703_000020|3300013703|Ga0120871_100024|2-11916
mouse/SRR10078214_1.fastq.gz	imgvr_reps.fna	0.2335	0.0227	95.94	39.290	NA-NA	HIGH	NA-NA	35	32.774	31/112	95.94	IMGVR_UViG_2869417620_000005|2869417620|2869417651|7830-30155
