Sample_file	Query_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Contig_name
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_000384495.1_genomic.fna.gz	43.4997	14.4465	96.10	96.10	NA-NA	46.000	HIGH	NA-NA	46	45.082	793/2720	ARQR01000001.1 Actinobacterium SCGC AAA015-D07 IBHYDRAFT_NODE-unique_1_len_118550.1_C, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_000816565.1_genomic.fna.gz	11.3477	21.6188	97.52	97.52	NA-NA	12.000	HIGH	NA-NA	12	12.056	7095/15452	NZ_JWSU01000001.1 Arthrobacter sp. L77 scaffold1.1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_001579665.1_genomic.fna.gz	6.6195	7.8508	97.00	97.00	NA-NA	7.000	HIGH	NA-NA	7	7.374	3629/9315	CM003839.1 Streptococcus mitis strain DD22 plasmid unnamed, complete sequence, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002836635.1_genomic.fna.gz	6.6195	14.4760	97.62	97.62	NA-NA	7.000	HIGH	NA-NA	7	7.565	8459/17848	NZ_PJAY01000060.1 Stenotrophomonas sp. Bg11-02 contig1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_003487125.1_genomic.fna.gz	4.7282	4.2207	96.18	96.18	NA-NA	5.000	HIGH	NA-NA	5	5.402	2162/7231	contig_12264
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_002305035.1_genomic.fna.gz	3.7826	4.9467	96.55	96.55	NA-NA	4.000	HIGH	NA-NA	4	4.245	3639/10791	DBPY01000038.1 TPA_asm: Collinsella sp. UBA1408 UBA1408_contig_10627, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_000435175.1_genomic.fna.gz	3.7826	2.9096	96.02	96.02	NA-NA	4.000	HIGH	NA-NA	4	4.603	1804/6347	FR880004.1 Clostridium sp. CAG:245 genomic scaffold, scf3, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_001179965.1_genomic.fna.gz	2.8369	1.2001	95.59	95.59	NA-NA	3.000	HIGH	NA-NA	3	3.033	850/3438	NZ_CVSH01000001.1 Candidatus Pelagibacter ubique strain SCGC AAA795-E22, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_001648025.1_genomic.fna.gz	2.1174	1.3087	97.53	97.20	97.44-97.72	2.239	2.239	1.82-2.39	2	2.466	1890/4562	NZ_LSYX01000001.1 Wolbachia endosymbiont of Dactylopius coccus strain wDacA Contig_1, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/GB_GCA_002282595.1_genomic.fna.gz	1.8131	3.0137	96.76	96.29	96.71-96.86	1.917	1.917	1.78-1.98	2	2.378	4216/13594	NCJV01000282.1 Pseudomonas sp. 34-62-33 04302015_34_scaffold_10000, whole genome shotgun sequence
species90/species90_0_R1.fq.gz	release89/bacteria/RS_GCF_002962445.1_genomic.fna.gz	1.6498	1.8354	97.83	97.26	97.73-97.92	1.745	1.745	1.64-1.84	2	2.255	3823/9044	NZ_POOV01000001.1 Streptococcus suis strain 666 SS_0666_Contig1, whole genome shotgun sequence
