Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
species90/species90_6_R1.fq.gz	release89/bacteria/RS_GCF_000813765.1_genomic.fna.gz	19.1231	17.5907	96.44	23.000	NA-NA	HIGH	NA-NA	23	20.872	4775/14681	96.44	NZ_JWSY01000001.1 Brevundimonas nasdae strain TPW30 Contig_1, whole genome shotgun sequence
species90/species90_6_R1.fq.gz	release89/bacteria/GB_GCA_003453535.1_genomic.fna.gz	17.4603	10.4735	97.46	21.000	NA-NA	HIGH	NA-NA	21	20.535	4276/9503	97.46	UBA7930_contig_6303
species90/species90_6_R1.fq.gz	release89/bacteria/RS_GCF_000024945.1_genomic.fna.gz	12.4716	7.1777	96.24	15.000	NA-NA	HIGH	NA-NA	15	15.218	2766/9082	96.24	NC_013520.1 Veillonella parvula DSM 2008, complete genome
species90/species90_6_R1.fq.gz	release89/bacteria/GB_GCA_000755365.1_genomic.fna.gz	11.7332	17.1294	96.95	14.112	NA-NA	HIGH	NA-NA	14	14.112	8931/23294	96.95	BBMQ01000336.1 Vibrio sp. C7 DNA, contig: contig00050, strain: JCM 19233, whole genome shotgun sequence
species90/species90_6_R1.fq.gz	release89/bacteria/GB_GCA_002716105.1_genomic.fna.gz	5.7997	4.1791	97.90	6.975	NA-NA	HIGH	NA-NA	7	6.975	5254/10149	97.90	PAZB01000001.1 Idiomarinaceae bacterium isolate SP86 73990, whole genome shotgun sequence
species90/species90_6_R1.fq.gz	release89/bacteria/GB_GCA_002431175.1_genomic.fna.gz	4.1792	7.8031	96.56	5.026	NA-NA	HIGH	NA-NA	5	5.026	9926/29387	96.56	DJDU01000297.1 TPA_asm: Neorhizobium sp. UBA5916 UBA5916_contig_1010, whole genome shotgun sequence
species90/species90_6_R1.fq.gz	release89/bacteria/RS_GCF_002563755.1_genomic.fna.gz	3.6551	8.0546	96.28	4.396	NA-NA	HIGH	NA-NA	4	4.396	10708/34651	96.28	NZ_PDBZ01000001.1 Burkholderia sp. JKS000303 Ga0138920_11, whole genome shotgun sequence
species90/species90_6_R1.fq.gz	release89/bacteria/GB_GCA_000434515.1_genomic.fna	2.8775	1.9762	96.63	3.461	NA-NA	HIGH	NA-NA	3	3.461	3758/10890	96.63	FR879826.1 Prevotella sp. CAG:604 genomic scaffold, scf4, whole genome shotgun sequence
species90/species90_6_R1.fq.gz	release89/bacteria/RS_GCF_000196555.1_genomic.fna.gz	2.7365	1.7618	95.04	3.291	NA-NA	HIGH	NA-NA	3	3.291	2063/9990	95.04	NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217 DNA, complete genome
species90/species90_6_R1.fq.gz	release89/bacteria/RS_GCF_000364245.1_genomic.fna.gz	2.4775	4.3342	97.20	2.980	NA-NA	HIGH	NA-NA	3	2.980	10781/26000	97.20	NZ_KB822441.1 Clostridium sp. ASF502 acMal-supercont1.1, whole genome shotgun sequence
