Read_file	Genome_file	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov	Containment_ind	Contig_name
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	100.00	89.38	101.64-104.82	0.007	0.007	0.01-0.01	1	0.031	849/27552	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/021/645/GCF_000021645.1_genomic.fna.gz	100.00	95.82	101.50-102.00	0.166	0.166	0.15-0.18	1	0.286	4865/18301	NC_011661.1 Dictyoglomus turgidum DSM 6724, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/308/215/GCF_000308215.1_genomic.fna.gz	100.00	95.48	100.91-101.34	0.182	0.182	0.17-0.19	1	0.261	6214/26072	NZ_CAJE01000026.1 Methanomassiliicoccus luminyensis B10, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/011/205/GCF_000011205.1_genomic.fna.gz	100.00	90.98	99.71-101.77	0.042	0.042	0.03-0.05	1	0.056	1407/26380	NC_003106.2 Sulfurisphaera tokodaii str. 7, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/007/305/GCF_000007305.1_genomic.fna.gz	100.00	91.91	99.72-101.39	0.061	0.061	0.04-0.08	1	0.104	1363/18622	NC_003413.1 Pyrococcus furiosus DSM 3638, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/015/865/GCF_000015865.1_genomic.fna.gz	100.00	94.10	100.26-100.84	0.135	0.135	0.12-0.15	1	0.164	5487/36097	NC_009012.1 Acetivibrio thermocellus ATCC 27405, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/022/325/GCF_000022325.1_genomic.fna.gz	100.00	96.47	100.36-100.68	0.285	0.285	0.27-0.30	1	0.345	8927/27180	NC_012034.1 Caldicellulosiruptor bescii DSM 6725, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/196/135/GCF_000196135.1_genomic.fna.gz	100.00	98.48	100.34-100.49	0.775	0.775	0.75-0.80	1	0.896	12886/20702	NC_005090.1 Wolinella succinogenes DSM 1740, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/015/805/GCF_000015805.1_genomic.fna.gz	100.00	99.45	100.30-100.41	1.382	1.382	1.32-1.43	2	1.790	16834/19955	NC_009073.1 Pyrobaculum calidifontis JCM 11548, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/017/205/GCF_000017205.1_genomic.fna.gz	100.00	92.12	99.91-100.74	0.071	0.071	0.06-0.08	1	0.103	4999/63733	NC_009656.1 Pseudomonas aeruginosa PA7, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCA/003/543/175/GCA_003543175.1_genomic.fna.gz	100.00	95.77	100.06-100.47	0.273	0.273	0.25-0.29	1	0.300	3973/15153	DPJC01000012.1 MAG TPA_asm: Hydrogenobaculum sp. isolate UBA8840 contig_1217, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/017/945/GCF_000017945.1_genomic.fna.gz	100.00	99.02	100.15-100.28	1.137	1.137	1.10-1.18	2	1.380	9474/12857	NC_009776.1 Ignicoccus hospitalis KIN4/I, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCA/003/510/745/GCA_003510745.1_genomic.fna.gz	100.00	98.85	100.13-100.26	1.036	1.036	1.00-1.07	1	1.178	10869/15577	DOKW01000009.1 MAG TPA_asm: Sulfurihydrogenibium sp. isolate UBA8851 contig_10540, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/007/185/GCF_000007185.1_genomic.fna.gz	100.00	99.26	100.15-100.25	1.342	1.342	1.29-1.39	2	1.512	13632/17180	NC_003551.1 Methanopyrus kandleri AV19, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/125/GCF_000016125.1_genomic.fna.gz	100.00	99.56	100.04-100.10	1.863	1.863	1.82-1.92	2	2.288	15311/17579	NC_009135.1 Methanococcus maripaludis C5, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/018/865/GCF_000018865.1_genomic.fna.gz	100.00	99.33	100.00-100.07	1.591	1.591	1.55-1.62	2	1.618	41407/50983	NC_010175.1 Chloroflexus aurantiacus J-10-fl, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/008/565/GCF_000008565.1_genomic.fna.gz	100.00	98.70	99.96-100.05	1.067	1.067	1.04-1.10	1	1.137	21049/31592	NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/020/225/GCF_000020225.1_genomic.fna.gz	100.00	99.68	99.98-100.03	2.284	2.284	2.22-2.34	2	2.418	23683/26184	NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/021/565/GCF_000021565.1_genomic.fna.gz	100.00	100.00	NA-NA	16.356	HIGH	NA-NA	16	16.356	19854/19854	NC_012440.1 Persephonella marina EX-H1, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/010/305/GCF_000010305.1_genomic.fna.gz	100.00	100.00	NA-NA	27.843	HIGH	NA-NA	28	27.812	46380/46383	NC_012489.1 Gemmatimonas aurantiaca T-27, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/001/639/275/GCF_001639275.1_genomic.fna.gz	100.00	100.00	NA-NA	9.958	HIGH	NA-NA	9	9.785	20311/20313	NZ_LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000001, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/785/GCF_000016785.1_genomic.fna.gz	100.00	100.00	NA-NA	27.181	HIGH	NA-NA	25	25.728	18088/18092	NC_009486.1 Thermotoga petrophila RKU-1, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/545/GCF_000016545.1_genomic.fna.gz	100.00	100.00	NA-NA	26.616	HIGH	NA-NA	26	26.606	27682/27691	NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/002/952/055/GCF_002952055.1_genomic.fna.gz	100.00	100.00	NA-NA	8.910	HIGH	NA-NA	9	8.905	26498/26513	NZ_CP021255.1 Desulfobulbus oralis strain HOT041/ORNL chromosome, complete genome
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/196/115/GCF_000196115.1_genomic.fna.gz	100.00	100.00	NA-NA	7.825	HIGH	NA-NA	8	7.819	70057/70098	NC_005027.1 Rhodopirellula baltica SH 1, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/019/085/GCF_000019085.1_genomic.fna.gz	100.00	100.00	NA-NA	7.364	HIGH	NA-NA	7	7.354	21654/21668	NC_010321.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/018/945/GCF_000018945.1_genomic.fna.gz	100.00	100.00	NA-NA	40.357	HIGH	NA-NA	40	40.321	18552/18564	NC_011978.1 Thermotoga neapolitana DSM 4359, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/166/095/GCF_000166095.1_genomic.fna.gz	100.00	100.00	NA-NA	15.479	HIGH	NA-NA	15	15.464	12323/12335	NC_014658.1 Methanothermus fervidus DSM 2088, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/020/465/GCF_000020465.1_genomic.fna.gz	100.00	100.00	NA-NA	13.210	HIGH	NA-NA	13	13.170	26589/26617	NC_010803.1 Chlorobium limicola DSM 245, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/011/105/GCF_000011105.1_genomic.fna.gz	100.00	100.00	NA-NA	7.391	HIGH	NA-NA	7	7.373	17241/17261	NC_000961.1 Pyrococcus horikoshii OT3, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCA/000/018/565/GCA_000018565.1_genomic.fna.gz	100.00	100.00	NA-NA	7.450	HIGH	NA-NA	7	7.441	65830/65911	CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/091/665/GCF_000091665.1_genomic.fna.gz	99.99	99.99	NA-NA	15.916	HIGH	NA-NA	15	15.883	17242/17278	NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/065/GCF_000016065.1_genomic.fna.gz	99.99	98.04	99.94-100.04	0.765	0.765	0.75-0.78	1	0.800	24564/45330	NC_009092.1 Shewanella loihica PV-4, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/900/167/395/GCF_900167395.1_genomic.fna.gz	99.98	99.98	NA-NA	10.415	HIGH	NA-NA	10	10.238	26522/26652	NZ_FUWK01000085.1 Nitrosomonas europaea strain ATCC 25978, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/015/125/GCF_000015125.1_genomic.fna.gz	99.97	99.97	NA-NA	5.170	HIGH	NA-NA	5	5.072	28986/29291	NC_008639.1 Chlorobium phaeobacteroides DSM 266, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/012/825/GCF_000012825.1_genomic.fna.gz	99.96	99.44	99.94-99.98	1.849	1.849	1.81-1.89	2	1.904	40706/48455	NC_009614.1 Phocaeicola vulgatus ATCC 8482, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/001/481/685/GCF_001481685.1_genomic.fna.gz	99.96	99.96	NA-NA	4.600	HIGH	NA-NA	4	4.548	13699/13855	NZ_CP006867.1 Ignicoccus islandicus DSM 13165 chromosome, complete genome
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/011/065/GCF_000011065.1_genomic.fna.gz	99.96	98.39	99.93-100.00	0.924	0.924	0.91-0.94	1	0.932	37111/61388	NC_004663.1 Bacteroides thetaiotaomicron VPI-5482, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCA/000/007/325/GCA_000007325.1_genomic.fna.gz	99.96	99.96	NA-NA	5.061	HIGH	NA-NA	5	4.997	20651/20910	AE009951.2 Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/006/985/GCF_000006985.1_genomic.fna.gz	99.95	99.95	NA-NA	4.769	HIGH	NA-NA	5	4.687	20721/21030	NC_002932.3 Chlorobaculum tepidum TLS, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/013/645/GCF_000013645.1_genomic.fna.gz	99.94	99.55	99.93-99.95	2.112	2.112	2.08-2.15	2	2.166	81956/94299	NC_007951.1 Paraburkholderia xenovorans LB400 chromosome 1, complete sequence
