Genome	SRR6075232_1.fastq.gz Mean
GCF_000180035.1_genomic	0.31214434
GCA_900546245.1_genomic	13.597248
GCF_000225705.1_genomic	0.1703622
GCA_900755095.1_genomic	11.2003145
GCF_003425665.1_genomic	0.9644467
GCF_003478035.1_genomic	3.3072371
GCF_003122485.1_genomic	1.5845481
GCF_000157995.1_genomic	0.6358187
GCF_000012845.1_genomic	13.049322
GCF_003478505.1_genomic	2.314899
GCF_005121165.3_genomic	3.8464131
GCF_003477605.1_genomic	8.877846
GCA_900765105.1_genomic	2.747837
GCA_944386565.1_genomic	0.086112104
GCF_002834235.1_genomic	24.553415
GCA_916050055.1_genomic	0.08576457
GCF_900167555.1_genomic	13.799054
GCA_900757655.1_genomic	11.425148
GCF_900209925.1_genomic	1.1936265
GCF_015560805.1_genomic	0.2851946
GCA_025144665.1_genomic	0.35075805
GCF_015557635.1_genomic	5.2179675
GCF_001074825.1_genomic	0.27443802
GCA_003480725.1_genomic	2.616472
GCF_010669225.1_genomic	16.398346
GCA_000020605.1_genomic	33.67922
GCA_900542245.1_genomic	0.6159778
GCA_905214375.1_genomic	0.7353868
GCA_025150745.1_genomic	3.552841
GCF_000723465.1_genomic	66.71632
GCA_001916055.1_genomic	7.2839947
GCA_025151045.1_genomic	6.9521165
GCF_000024265.1_genomic	0.12873013
GCA_900761075.1_genomic	0.33305353
GCF_003464595.1_genomic	4.937116
GCF_019967995.1_genomic	10.239037
GCF_018408705.1_genomic	1.2222604
GCA_004000625.1_genomic	64.7193
GCA_905209085.1_genomic	0.34139088
GCA_900760705.1_genomic	1.0049198
GCF_000020225.1_genomic	0.6283131
GCA_025145285.1_genomic	14.957765
GCA_003112755.1_genomic	0.76541644
GCF_003435375.1_genomic	6.618195
GCF_000172175.1_genomic	3.896055
GCA_000432155.1_genomic	0.44931823
GCA_018223385.1_genomic	0.6296099
GCA_934476545.1_genomic	0.124305904
GCF_001025215.1_genomic	1.4413482
GCA_900549405.1_genomic	0.5616973
GCA_025148965.1_genomic	0.23102878
GCF_002127965.1_genomic	0.06881539
GCA_000437595.1_genomic	19.664152
GCF_000466485.1_genomic	0.101541966
GCF_000332875.2_genomic	3.7479548
GCA_900543625.1_genomic	7.9959555
GCA_900539115.1_genomic	0.31137633
GCA_900557355.1_genomic	4.990529
GCA_900542005.1_genomic	0.112838276
GCA_003343815.1_genomic	3.7990816
GCF_014287815.1_genomic	0.43674994
GCF_001729745.1_genomic	0.6775224
GCA_904395885.1_genomic	0.06968547
GCA_000435835.1_genomic	0.47746718
GCA_900550685.1_genomic	2.2104294
GCF_008801935.1_genomic	0.07847701
GCA_900752305.1_genomic	0.26928234
GCF_020091405.1_genomic	1.077345
GCF_000156655.1_genomic	7.735145
GCA_020555865.1_genomic	0.5703897
GCF_010120595.1_genomic	1.8822473
GCF_000297775.1_genomic	8.788421
GCF_009557455.1_genomic	2.7785769
GCF_900120195.1_genomic	0.7454046
GCF_018918025.1_genomic	0.8927809
GCA_025148125.1_genomic	4.1044855
GCF_000158035.1_genomic	3.255222
GCA_019420525.1_genomic	0.6193165
GCA_003481745.1_genomic	1.8183463
GCF_900155615.1_genomic	0.16230737
GCA_004553545.1_genomic	0.5835859
GCA_014385265.1_genomic	2.522993
GCF_000010425.1_genomic	1.0402954
GCF_900537995.1_genomic	7.5555353
GCF_018408575.1_genomic	8.420902
GCA_000432375.1_genomic	25.269257
GCF_000577815.1_genomic	0.044778965
GCA_900552475.1_genomic	1.9125061
GCA_003514385.1_genomic	0.35510728
GCF_003478335.1_genomic	5.729188
GCF_000469345.1_genomic	1.3853722
GCF_000239295.1_genomic	1.5929826
GCA_902362775.1_genomic	1.2404826
GCA_900546265.1_genomic	0.27670088
GCA_905198295.1_genomic	0.7186342
GCF_000205025.1_genomic	0.21320942
GCA_000436755.1_genomic	7.5163426
GCA_000154345.1_genomic	1.8548875
GCA_000436335.1_genomic	5.0739555
GCA_900755865.1_genomic	0.5357291
GCF_019042275.1_genomic	0.10274214
GCF_003471165.1_genomic	1.2372808
GCF_900078395.1_genomic	0.16805002
GCA_900542735.1_genomic	2.5171497
GCA_018374635.1_genomic	0.419882
GCA_900544405.1_genomic	0.59116966
GCF_019734885.1_genomic	0.8797323
GCA_900543555.1_genomic	0.24967803
GCA_902363665.1_genomic	0.6604168
GCF_003697165.2_genomic	1.3924955
GCA_900553315.1_genomic	1.1460752
GCA_915066865.1_genomic	0.11773237
GCA_905202115.1_genomic	2.0438006
GCF_900120155.1_genomic	0.20652159
GCF_000381365.1_genomic	2.253841
GCA_025147325.1_genomic	6.172798
GCA_025147765.1_genomic	4.0368285
GCF_014290175.1_genomic	1.8521291
GCF_004154955.1_genomic	0.32027203
GCF_000296465.1_genomic	8.889541
GCA_000155435.1_genomic	0.1254634
GCF_001548235.1_genomic	0.26777682
GCA_019421015.1_genomic	0.09874645
GCF_019929225.1_genomic	0.10039434
GCA_003531585.1_genomic	12.092594
GCA_900764695.1_genomic	0.67167526
GCF_003478445.1_genomic	13.36275
GCF_024499055.1_genomic	0.095330425
GCA_000613465.1_genomic	3.9156032
GCF_014287435.1_genomic	1.6045189
GCA_018713145.1_genomic	0.04025106
GCF_003481705.1_genomic	5.90465
GCA_000431215.1_genomic	3.8278527
GCF_003634345.1_genomic	6.4176383
GCF_003481825.1_genomic	0.7796512
GCA_944380875.1_genomic	0.061679978
GCF_016901815.1_genomic	1.3590256
GCF_000190535.1_genomic	17.7217
GCA_900543295.1_genomic	0.58156174
GCF_002160765.1_genomic	0.35509512
GCF_003024675.1_genomic	1.4584817
GCA_900545305.1_genomic	1.4482793
GCA_003490145.1_genomic	2.6608791
GCF_014287875.1_genomic	2.7017643
GCF_014384895.1_genomic	0.12929058
GCA_901472455.1_genomic	1.8858255
GCA_944388395.1_genomic	0.10017144
GCF_943193075.1_genomic	0.40010986
GCF_003287495.1_genomic	3.7690465
GCF_000233455.1_genomic	0.35471937
GCA_900546315.1_genomic	0.6165939
GCA_025148635.1_genomic	2.9980242
GCA_000431795.1_genomic	0.2818461
GCF_902381825.1_genomic	0.9956052
GCA_934875375.1_genomic	1.3732125
GCA_001312505.1_genomic	2.4600303
GCA_900549755.1_genomic	0.266109
GCA_904397865.1_genomic	0.09844285
GCF_000196555.1_genomic	1.080041
GCF_000327285.1_genomic	0.24199866
GCF_001487165.1_genomic	1.6590539
GCA_025146135.1_genomic	0.91599643
GCA_003096535.1_genomic	3.872746
GCF_000313565.1_genomic	0.07795458
GCF_003024685.1_genomic	1.6560136
GCF_008121495.1_genomic	1.3541956
GCA_944387035.1_genomic	1.148395
GCA_000437435.1_genomic	3.1390958
GCF_003460605.1_genomic	1.6293262
GCF_013393365.1_genomic	0.24387653
GCF_007164725.1_genomic	24.998919
GCF_000225345.1_genomic	11.825784
GCA_900555425.1_genomic	0.19650725
GCA_900753285.1_genomic	2.1990538
GCA_900112995.1_genomic	4.9201517
GCF_900184685.1_genomic	1.0401012
GCF_001404335.1_genomic	0.26326492
GCA_900756605.1_genomic	0.18320897
GCA_025149785.1_genomic	11.534636
GCA_910588425.1_genomic	0.18752879
GCF_014287955.1_genomic	9.356413
GCA_900553635.1_genomic	1.4196242
GCA_900550965.1_genomic	0.71590894
GCA_003525905.1_genomic	14.626868
GCA_900765575.1_genomic	0.4131907
GCA_000436835.1_genomic	7.7895966
GCA_900757905.1_genomic	0.5138537
GCA_944378105.1_genomic	0.076320805
GCF_002234575.2_genomic	0.40043873
GCA_900539945.1_genomic	8.389182
GCA_000436475.1_genomic	8.507826
GCA_904420575.1_genomic	0.058976687
GCA_021029595.1_genomic	2.1422198
GCA_900754805.1_genomic	0.46330115
GCA_019423025.1_genomic	0.79545176
GCA_904419775.1_genomic	0.055940136
GCA_000509105.1_genomic	0.48818102
GCA_900170005.1_genomic	0.055980437
GCA_904395335.1_genomic	0.279215
GCF_000478885.1_genomic	0.52071357
GCF_020687205.1_genomic	6.0964355
GCA_000434635.1_genomic	3.5248885
GCA_900546685.1_genomic	0.6827557
GCF_003480435.1_genomic	2.559964
GCA_025144995.1_genomic	0.98490846
GCF_000765235.1_genomic	11.0289755
GCF_014297355.1_genomic	1.0303371
GCA_025149465.1_genomic	0.045886993
GCF_003474435.1_genomic	1.0434867
GCF_009494135.1_genomic	510.67838
GCF_000382445.1_genomic	13.972126
GCF_000187505.1_genomic	0.33224103
GCA_000435055.1_genomic	9.935646
GCA_900757025.1_genomic	0.58974344
GCF_900106845.1_genomic	0.98225987
GCF_000785515.1_genomic	0.78022116
GCF_023347255.1_genomic	18.017584
GCA_025150245.1_genomic	1.6289407
GCF_014647375.1_genomic	1.0044373
GCA_934256695.1_genomic	1.1702294
GCA_900757695.1_genomic	0.9754165
GCF_000279535.1_genomic	0.1930955
GCF_014202115.1_genomic	0.25474378
GCA_000435475.1_genomic	0.09437314
GCA_900557165.1_genomic	0.07938685
GCA_900319575.1_genomic	2.0588417
GCF_024168045.1_genomic	3.9426908
GCF_001406815.1_genomic	44.70964
GCF_003865035.1_genomic	6.2878785
GCF_003574295.1_genomic	1.0544909
GCA_902362725.1_genomic	1.3900138
GCA_003480425.1_genomic	1.1608939
GCA_900761935.1_genomic	0.18025346
GCA_000435175.1_genomic	18.680466
GCA_900542445.1_genomic	0.29322144
GCA_019410105.1_genomic	1.5339142
GCF_900120005.1_genomic	0.22620751
GCA_905205995.1_genomic	0.8929724
GCA_904420565.1_genomic	0.28195348
GCA_019424245.1_genomic	27.500498
GCF_002159845.1_genomic	0.5865023
GCF_000210055.1_genomic	0.18666959
GCA_000438155.1_genomic	2.0926635
GCA_900550165.1_genomic	3.4449332
GCF_003435815.1_genomic	0.9576132
GCF_000479335.1_genomic	0.32821745
GCF_001314995.1_genomic	14.953588
GCA_019411365.1_genomic	6.2315893
GCF_001517625.2_genomic	0.792978
GCA_003481005.1_genomic	4.6854744
GCA_905214955.1_genomic	0.4006405
GCF_003481985.1_genomic	2.2421224
GCA_025149125.1_genomic	0.23821191
GCF_000173975.1_genomic	1.4039748
GCF_000191405.1_genomic	0.82977474
GCA_900542375.1_genomic	0.40843037
GCF_003479605.1_genomic	1.8095773
GCF_000011065.1_genomic	11.622913
GCA_900543885.1_genomic	0.6749427
GCA_900541315.1_genomic	1.1583012
GCF_000233955.1_genomic	13.935165
GCF_000969835.1_genomic	0.4481957
GCF_000701705.1_genomic	4.5473976
GCA_025147485.1_genomic	51.894318
GCA_003478355.1_genomic	4.7006516
GCA_900557385.1_genomic	1.1233495
GCF_018918145.1_genomic	0.66568404
GCA_934351765.1_genomic	0.098872684
GCF_020554845.1_genomic	2.6183407
GCF_009680455.1_genomic	53.570087
GCA_025151215.1_genomic	2.393315
GCF_014297285.1_genomic	7.1064844
GCA_900760795.1_genomic	8.118243
GCA_025150425.1_genomic	0.35434195
GCF_003480315.1_genomic	3.2915456
GCA_003507655.1_genomic	2.2935612
GCA_934216375.1_genomic	0.11274417
GCA_900546885.1_genomic	1.3284273
GCA_019118365.1_genomic	0.06536658
GCF_000468015.1_genomic	18.48887
GCA_025145845.1_genomic	17.311028
GCA_934647945.1_genomic	0.21585412
GCF_000157915.1_genomic	38.172028
GCF_900048895.1_genomic	0.3478643
GCF_014384745.1_genomic	0.111748055
GCA_900757485.1_genomic	0.23950511
GCA_900542115.1_genomic	2.7682598
GCF_000156195.1_genomic	7.3771315
GCF_013343115.1_genomic	0.11732373
GCF_000175615.1_genomic	0.17735168
GCA_000435555.1_genomic	0.7270924
GCA_014872655.1_genomic	1.2122333
GCF_014306095.1_genomic	0.21040133
GCA_905206455.1_genomic	0.39749938
GCF_003024715.1_genomic	10.062198
GCA_902406135.1_genomic	0.5181431
GCA_934869045.1_genomic	0.6759746
GCF_003477705.1_genomic	1.2176819
GCA_003150225.1_genomic	0.08072773
GCF_003437535.1_genomic	249.19603
GCA_905193995.1_genomic	0.705159
GCA_900545865.1_genomic	0.27853978
GCF_006542665.1_genomic	3.7569168
GCA_003539495.1_genomic	6.62577
GCA_900539695.1_genomic	5.242157
GCF_003402575.1_genomic	23.634739
GCF_000210075.1_genomic	19.256447
GCF_000153925.1_genomic	13.857641
GCF_003473545.1_genomic	3.2684534
GCF_000187465.1_genomic	0.19850731
GCF_003628755.1_genomic	0.4410035
GCA_003478935.1_genomic	8.32153
GCA_900546255.1_genomic	0.99449664
GCA_018223365.1_genomic	0.9237293
GCA_900757295.1_genomic	4.7080975
GCA_900554975.1_genomic	2.855335
GCA_900549055.1_genomic	0.5347328
