Genome	ERR479206_1.fastq.gz Mean
GCF_000180035.1_genomic	0.27802697
GCF_002998925.1_genomic	0.067529485
GCF_000420345.1_genomic	0.50830287
GCA_900755095.1_genomic	1.2260408
GCF_003425665.1_genomic	1.0532198
GCF_000012845.1_genomic	1.4699401
GCF_002549775.1_genomic	0.73459375
GCA_000435195.1_genomic	1.8324277
GCF_900095865.1_genomic	0.42470947
GCF_024622975.1_genomic	4.435833
GCF_009696275.1_genomic	0.9033389
GCF_003478505.1_genomic	1.1551516
GCA_018712915.1_genomic	0.04279095
GCF_005121165.3_genomic	1.7140727
GCF_003477605.1_genomic	1.101943
GCA_934647305.1_genomic	0.04145211
GCF_002834235.1_genomic	23.443003
GCF_015140235.1_genomic	0.39309588
GCA_002404795.1_genomic	0.26949888
GCA_003150485.1_genomic	0.22296782
GCF_900167555.1_genomic	0.7793566
GCF_015560805.1_genomic	0.64232194
GCA_025144665.1_genomic	0.3104237
GCF_015557635.1_genomic	5.6819353
GCA_900543485.1_genomic	0.25635463
GCA_003480725.1_genomic	0.98829657
GCF_014384785.1_genomic	0.5364625
GCA_000020605.1_genomic	17.166758
GCA_025150745.1_genomic	2.9474356
GCF_000265365.1_genomic	0.7196242
GCA_905215695.1_genomic	0.11819347
GCF_023921805.1_genomic	1.3406855
GCF_000024265.1_genomic	0.26121318
GCA_900549945.1_genomic	0.14199336
GCA_900543525.1_genomic	0.21311773
GCF_018408705.1_genomic	0.7136803
GCA_904419295.1_genomic	0.11657972
GCF_000020225.1_genomic	1.1416816
GCA_025145285.1_genomic	1.6645982
GCA_003112755.1_genomic	1.0293431
GCF_000172175.1_genomic	1.3852075
GCA_900540805.1_genomic	0.06929326
GCA_000433535.1_genomic	5.090278
GCA_934281605.1_genomic	0.17869526
GCF_020215665.1_genomic	0.3399389
GCA_025148965.1_genomic	0.08842697
GCF_000466485.1_genomic	0.23239899
GCF_000332875.2_genomic	4.6603756
GCA_904395885.1_genomic	0.09928145
GCF_013449735.1_genomic	0.24907464
GCA_020555865.1_genomic	0.20222709
GCF_010120595.1_genomic	2.5261276
GCF_018918025.1_genomic	0.39024976
GCA_025148125.1_genomic	7.5142984
GCF_011405655.1_genomic	0.8971847
GCF_000158035.1_genomic	7.956846
GCF_023617305.1_genomic	4.317032
GCF_014131695.1_genomic	0.043347497
GCA_944384895.1_genomic	0.09523787
GCA_900544765.1_genomic	0.07110168
GCF_900199375.1_genomic	0.0950828
GCA_904399395.1_genomic	0.16446127
GCA_944387845.1_genomic	0.068743
GCF_003461955.1_genomic	1.0420159
GCF_900155615.1_genomic	0.062808044
GCA_003538135.1_genomic	6.352903
GCF_900537995.1_genomic	7.834119
GCA_025150085.1_genomic	5.004101
GCF_011927845.1_genomic	0.715876
GCF_000469345.1_genomic	1.6636504
GCF_014287275.1_genomic	0.07878574
GCF_023336935.1_genomic	4.57362
GCF_000239295.1_genomic	0.50035703
GCA_944386855.1_genomic	0.10466539
GCA_902362775.1_genomic	0.7399928
GCF_001244995.1_genomic	0.9125956
GCA_944385035.1_genomic	0.28670502
GCA_000154345.1_genomic	0.24469133
GCA_000436335.1_genomic	4.5739264
GCA_934615635.1_genomic	0.056120683
GCA_900754755.1_genomic	0.15016367
GCF_900104605.1_genomic	0.37576267
GCA_900549475.1_genomic	0.17426339
GCA_900760275.1_genomic	0.15560617
GCA_900543555.1_genomic	0.16497713
GCF_003697165.2_genomic	0.39898092
GCF_900199635.1_genomic	0.442571
GCF_900129135.1_genomic	0.3139763
GCA_900540425.1_genomic	0.45361704
GCA_018228645.1_genomic	0.8533374
GCA_000435675.1_genomic	0.08885736
GCA_900552055.1_genomic	0.083209276
GCA_025147765.1_genomic	1.758252
GCF_004154955.1_genomic	0.19217667
GCF_000296465.1_genomic	2.2676234
GCA_900541395.1_genomic	0.1861665
GCA_900555195.1_genomic	0.100740895
GCA_017937065.1_genomic	0.26293468
GCA_000613465.1_genomic	0.7892744
GCA_002305315.1_genomic	0.095216274
GCF_003634345.1_genomic	1.0966767
GCA_000436375.1_genomic	1.4327494
GCF_016901815.1_genomic	0.28141972
GCF_000190535.1_genomic	1.0188373
GCA_000432275.1_genomic	1.2325099
GCA_944385645.1_genomic	0.12304709
GCA_944384255.1_genomic	0.058348067
GCF_000233455.1_genomic	0.13555622
GCA_025148635.1_genomic	0.3838361
GCA_900541905.1_genomic	0.3322327
GCF_005844325.1_genomic	3.8632586
GCA_934875375.1_genomic	0.2769787
GCA_001312505.1_genomic	4.0967727
GCA_004558145.1_genomic	0.20567821
GCF_001487165.1_genomic	1.96981
GCA_025146135.1_genomic	0.43531197
GCA_003096535.1_genomic	0.79231715
GCF_003024685.1_genomic	3.34566
GCF_008121495.1_genomic	0.5078383
GCA_900538575.1_genomic	2.1204712
GCA_944387035.1_genomic	0.22635709
GCA_934630445.1_genomic	0.07012916
GCF_000225345.1_genomic	1.046127
GCF_014384765.1_genomic	0.13302429
GCA_001189495.1_genomic	0.055743635
GCA_900112995.1_genomic	2.2121997
GCF_010537335.1_genomic	1.4620475
GCF_004134775.1_genomic	0.06753454
GCF_001404335.1_genomic	0.40681276
GCA_025149785.1_genomic	2.8729312
GCA_003525905.1_genomic	0.36600026
GCA_019424865.1_genomic	0.15478681
GCA_000438355.1_genomic	3.6096096
GCF_002234575.2_genomic	0.44740462
GCA_904420575.1_genomic	0.03391962
GCA_902373545.1_genomic	0.088188715
GCF_003479405.1_genomic	1.0901158
GCA_019419895.1_genomic	0.04867851
GCA_904419775.1_genomic	0.06890368
GCA_000509105.1_genomic	0.3119217
GCA_944393575.1_genomic	0.08205959
GCA_000434635.1_genomic	0.7265227
GCA_900546685.1_genomic	0.10302999
GCA_025144995.1_genomic	0.18517374
GCA_000434215.1_genomic	0.5662926
GCA_000435055.1_genomic	4.1193666
GCF_002160825.1_genomic	0.14572605
GCF_000785515.1_genomic	0.9967114
GCF_000469305.1_genomic	5.3172235
