Genome	ERR479104_1.fastq.gz Mean
GCA_900540005.1_genomic	1.2126638
GCA_900755095.1_genomic	0.26262525
GCF_003478035.1_genomic	0.38808736
GCA_019418225.1_genomic	0.096942134
GCF_900291955.1_genomic	1.1667268
GCA_905200265.1_genomic	0.16662988
GCF_000012845.1_genomic	0.5256364
GCF_001404655.1_genomic	0.22503622
GCA_900544615.1_genomic	0.32279938
GCA_900547295.1_genomic	0.23636675
GCA_002404795.1_genomic	0.17571457
GCA_003150485.1_genomic	0.08315731
GCF_900167555.1_genomic	1.2430961
GCF_900209925.1_genomic	0.61205965
GCA_004556395.1_genomic	0.11148624
GCA_905215275.1_genomic	0.7260131
GCF_015557635.1_genomic	3.1480217
GCF_900447045.1_genomic	0.5545412
GCA_003480725.1_genomic	0.5649175
GCA_900549975.1_genomic	0.55012304
GCA_000433035.1_genomic	0.038830996
GCA_000020605.1_genomic	10.901068
GCA_025150745.1_genomic	0.77944034
GCF_000311845.1_genomic	0.20362465
GCA_004557855.1_genomic	0.34535113
GCA_004556345.1_genomic	0.23860821
GCF_000723465.1_genomic	0.510251
GCF_023921805.1_genomic	29.692965
GCA_000437755.1_genomic	0.41946027
GCF_019967995.1_genomic	1.174551
GCA_904419295.1_genomic	0.05178567
GCA_004000625.1_genomic	7.971328
GCF_000020225.1_genomic	0.56058365
GCF_003435375.1_genomic	0.55491155
GCF_900155365.1_genomic	0.3105095
GCA_934476545.1_genomic	0.26941508
GCA_934663625.1_genomic	0.044777513
GCA_025148965.1_genomic	1.4398369
GCA_000437595.1_genomic	5.880357
GCF_000332875.2_genomic	0.3764438
GCA_900760125.1_genomic	0.29170948
GCA_900543625.1_genomic	0.34619036
GCF_014287815.1_genomic	1.0438548
GCA_900556585.1_genomic	1.4262009
GCA_905193155.1_genomic	0.23568223
GCF_010120595.1_genomic	2.2834322
GCA_900545805.1_genomic	0.13959065
GCA_003512525.1_genomic	0.4326198
GCF_900120195.1_genomic	0.5465774
GCA_900543035.1_genomic	0.48043427
GCF_018918025.1_genomic	0.6799378
GCA_025148125.1_genomic	1.5238553
GCF_011405655.1_genomic	0.16131294
GCF_003725955.1_genomic	0.52061856
GCA_001916775.1_genomic	0.467008
GCF_000158035.1_genomic	0.83722913
GCF_023347535.1_genomic	8.1012125
GCA_904399395.1_genomic	0.038344663
GCF_003461955.1_genomic	0.3633755
GCA_014385265.1_genomic	0.18874085
GCF_000010425.1_genomic	0.21999478
GCA_025150085.1_genomic	4.1247387
GCA_000432375.1_genomic	0.54085964
GCF_000577815.1_genomic	0.94042367
GCA_003514385.1_genomic	0.09413921
GCF_003478335.1_genomic	0.40561056
GCF_000469345.1_genomic	0.4478083
GCA_002472405.1_genomic	0.5510656
GCF_000205025.1_genomic	0.1489964
GCA_000436335.1_genomic	3.1659243
GCA_000436535.1_genomic	0.4296472
GCA_003537755.1_genomic	0.07466872
GCA_900542735.1_genomic	1.8688076
GCA_900553865.1_genomic	0.16187966
GCA_000432135.1_genomic	0.5212194
GCF_900104605.1_genomic	0.3537364
GCA_900545175.1_genomic	1.0826586
GCA_001916965.1_genomic	0.16711816
GCF_019734885.1_genomic	0.47860077
GCF_014384705.1_genomic	0.48872897
GCA_902363665.1_genomic	0.7226351
GCF_003697165.2_genomic	1.6611563
GCA_900544265.1_genomic	0.8655357
GCA_019117305.1_genomic	0.21576118
GCA_905215805.1_genomic	0.23004068
GCF_000188175.1_genomic	1.846888
GCA_025147325.1_genomic	0.84318405
GCA_018228645.1_genomic	0.5602386
GCA_025147765.1_genomic	0.47837448
GCA_000431335.1_genomic	2.1076815
GCA_900549955.1_genomic	0.06563154
GCF_000296465.1_genomic	2.6550605
GCA_900541395.1_genomic	0.123768054
GCA_018714125.1_genomic	0.063742094
GCA_900551505.1_genomic	0.27683774
GCA_003531585.1_genomic	0.37602904
GCA_019423795.1_genomic	0.20295522
GCF_024499055.1_genomic	0.36095986
GCA_002305315.1_genomic	0.10975
GCA_900544335.1_genomic	0.6052576
GCA_000436375.1_genomic	0.7022574
GCF_000190535.1_genomic	0.5192988
GCF_003024675.1_genomic	0.7353512
GCA_944384255.1_genomic	0.0917316
GCF_003287495.1_genomic	1.105757
GCF_902381825.1_genomic	0.79649025
GCA_004556705.1_genomic	4.3685923
GCA_934875375.1_genomic	0.210285
GCA_001312505.1_genomic	0.9050201
GCF_014384985.1_genomic	1.2392567
GCF_000016525.1_genomic	5.813531
