Genome	ERR209458_1.fastq.gz Mean
GCA_900755095.1_genomic	1.4215748
GCA_001916215.1_genomic	0.5988008
GCF_003478035.1_genomic	0.9083944
GCF_900291955.1_genomic	1.2391864
GCA_000433095.1_genomic	16.922457
GCF_000157995.1_genomic	0.18078567
GCF_000012845.1_genomic	6.0645785
GCA_000433515.1_genomic	0.53597516
GCA_000435195.1_genomic	0.39608565
GCA_902363805.1_genomic	0.6373152
GCF_005121165.3_genomic	1.232528
GCF_003477605.1_genomic	2.9875274
GCA_900543915.1_genomic	0.6638284
GCA_900543475.1_genomic	0.23642732
GCF_002834235.1_genomic	11.38987
GCF_900167555.1_genomic	2.2580152
GCA_900556865.1_genomic	0.15670247
GCA_025144665.1_genomic	0.4637297
GCA_944332375.1_genomic	0.20627424
GCF_015557635.1_genomic	7.156744
GCA_904398665.1_genomic	0.30029652
GCA_900543485.1_genomic	0.33669174
GCA_003480725.1_genomic	2.3330333
GCF_010669225.1_genomic	6.389673
GCA_000433035.1_genomic	0.6981739
GCA_900553555.1_genomic	0.2966602
GCA_000020605.1_genomic	3.9086268
GCA_944375955.1_genomic	0.0958592
GCF_000723465.1_genomic	2.4426212
GCA_900761075.1_genomic	0.52514344
GCA_004000625.1_genomic	7.1604605
GCA_905209085.1_genomic	0.043150105
GCA_900760705.1_genomic	0.24776974
GCA_000803105.1_genomic	1.1528369
GCF_000020225.1_genomic	2.001521
GCA_001917125.1_genomic	0.5369196
GCA_003112755.1_genomic	1.1271038
GCF_003435375.1_genomic	0.9899809
GCA_900761125.1_genomic	0.07410622
GCA_018223385.1_genomic	0.3702831
GCA_001917175.1_genomic	5.4866514
GCA_000437595.1_genomic	5.674599
GCF_000332875.2_genomic	4.717267
GCA_003538975.1_genomic	0.33773622
GCA_900539115.1_genomic	3.545369
GCA_003343815.1_genomic	0.52356815
GCF_900291975.1_genomic	0.4445452
GCA_020555865.1_genomic	0.22742146
GCA_900543035.1_genomic	0.32063317
GCA_000434435.1_genomic	1.0390166
GCA_944385265.1_genomic	0.05351907
GCA_025148125.1_genomic	3.0533836
GCF_000158035.1_genomic	7.442589
GCF_023617305.1_genomic	1.1943917
GCA_003516765.1_genomic	0.50453883
GCA_904399395.1_genomic	0.116705924
GCA_014385265.1_genomic	0.35460085
GCF_000010425.1_genomic	1.422603
GCA_003538135.1_genomic	11.206474
GCF_900537995.1_genomic	1.8069956
GCA_018714845.1_genomic	0.035080127
GCA_025150085.1_genomic	4.4915533
GCA_900557475.1_genomic	2.0521145
GCF_011927845.1_genomic	1.3100034
GCF_000469345.1_genomic	0.9250675
GCA_944386855.1_genomic	0.07844203
GCA_000434475.1_genomic	6.9143476
GCF_000205025.1_genomic	0.34925398
GCA_000436755.1_genomic	2.7894342
GCA_000154345.1_genomic	0.25529015
GCA_900761765.1_genomic	0.107570395
GCF_900104605.1_genomic	0.6988156
GCA_900547035.1_genomic	0.1480725
GCF_020736365.1_genomic	1.1988422
GCA_001916965.1_genomic	5.2694883
GCA_002477185.1_genomic	11.407102
GCF_019734885.1_genomic	0.64774805
GCF_003697165.2_genomic	1.4765906
GCA_018712425.1_genomic	0.059919097
GCA_000980375.1_genomic	0.23936312
GCA_944383785.1_genomic	0.08331695
GCA_905215805.1_genomic	0.078455515
GCA_902363675.1_genomic	2.4186332
GCA_018228645.1_genomic	0.9612557
GCA_000431335.1_genomic	0.70535827
GCA_003149735.1_genomic	0.7238781
GCF_014290175.1_genomic	0.5219855
GCF_000296465.1_genomic	10.115267
GCA_018714125.1_genomic	0.10378839
GCA_900555195.1_genomic	0.23693782
GCF_003478445.1_genomic	7.427958
GCA_900538905.1_genomic	4.067267
GCA_001304875.1_genomic	0.14997205
GCA_002305315.1_genomic	0.17382653
GCF_003634345.1_genomic	1.0443292
GCA_000436375.1_genomic	2.9481747
GCF_016901815.1_genomic	0.4672178
GCF_000190535.1_genomic	2.7395163
GCA_900543295.1_genomic	0.109899476
GCA_902362965.1_genomic	3.9093392
GCA_944324345.1_genomic	0.12159606
GCF_900103425.1_genomic	0.8813097
GCA_003490145.1_genomic	1.7185237
GCA_900546315.1_genomic	0.077957876
GCA_025148635.1_genomic	0.2301039
GCA_000431815.1_genomic	13.923745
GCA_000434195.1_genomic	0.30299136
GCA_934875375.1_genomic	0.6515635
GCA_001312505.1_genomic	7.305441
GCF_000196555.1_genomic	0.21620335
GCF_001487165.1_genomic	1.2972416
GCA_944382045.1_genomic	0.09541255
GCA_934255545.1_genomic	0.45448467
GCA_003096535.1_genomic	0.63793236
GCF_003024685.1_genomic	1.4453949
GCA_001915995.1_genomic	0.17315924
GCA_900555925.1_genomic	0.5358834
GCA_900549285.1_genomic	0.7251375
GCA_001916065.1_genomic	1.7186648
GCF_003460605.1_genomic	2.227935
GCF_000225345.1_genomic	3.0227804
GCA_944386455.1_genomic	0.65714353
GCA_944376195.1_genomic	0.19091453
GCA_934277655.1_genomic	0.22877088
GCA_018711035.1_genomic	2.017453
GCA_900753285.1_genomic	0.2501398
GCA_900112995.1_genomic	13.936658
GCA_003534295.1_genomic	0.28007147
GCF_004134775.1_genomic	0.19517265
GCA_025149785.1_genomic	2.2363658
GCF_014287955.1_genomic	12.830571
GCA_000437355.1_genomic	8.294945
GCA_000438355.1_genomic	1.609427
GCA_000436835.1_genomic	5.995466
GCA_900757905.1_genomic	0.2839192
GCA_019119575.1_genomic	0.13126379
GCA_900545815.1_genomic	0.225902
GCF_900312975.1_genomic	0.57500845
GCA_944388655.1_genomic	0.12181157
GCA_000433015.1_genomic	0.3774488
GCA_900539945.1_genomic	1.3640002
GCA_021029595.1_genomic	1.0445174
GCA_900761905.1_genomic	0.28840733
GCF_003479405.1_genomic	0.6145346
GCA_905193225.1_genomic	0.2655675
GCA_904419775.1_genomic	0.311724
GCA_003486385.1_genomic	0.6427071
GCF_020687205.1_genomic	1.609107
GCA_944393575.1_genomic	0.34492418
GCA_001915925.1_genomic	0.85572976
GCA_000434635.1_genomic	0.54230165
GCA_900546685.1_genomic	0.33359298
GCA_025144995.1_genomic	0.16740064
GCA_905210995.1_genomic	4.720187
GCF_000765235.1_genomic	1.8917844
GCA_000434215.1_genomic	5.848382
GCA_025149465.1_genomic	0.101628356
GCF_003474435.1_genomic	2.4688125
GCA_900552525.1_genomic	6.775508
GCA_003150515.1_genomic	0.10529768
GCA_900556615.1_genomic	3.3344047
GCA_000435055.1_genomic	2.1570787
GCF_900106845.1_genomic	0.065647565
GCF_000785515.1_genomic	0.08650052
GCF_023347255.1_genomic	2.9230459
