Genome	SRR19064323_1.fastq.gz Mean
GCA_904419545.1_genomic	9.607639
GCF_002998925.1_genomic	0.28863
GCA_001940895.1_genomic	40.881435
GCF_001881565.1_genomic	1.4849844
GCF_003425665.1_genomic	19.890882
GCA_900543085.1_genomic	1.4111031
GCF_900086585.1_genomic	1.9175572
GCF_009696045.1_genomic	1.1811715
GCF_000012845.1_genomic	49.37879
GCA_004557735.1_genomic	21.58899
GCA_001941065.1_genomic	1.2526649
GCA_002320595.1_genomic	156.21457
GCA_000435195.1_genomic	0.58122694
GCF_024622975.1_genomic	1.7978663
GCA_904396155.1_genomic	1.7676883
GCF_005121165.3_genomic	9.669236
GCA_004552515.1_genomic	1.301145
GCF_003477605.1_genomic	12.020612
GCA_900541345.1_genomic	0.9801
GCA_900543915.1_genomic	3.588058
GCF_000154825.1_genomic	0.1267189
GCA_003507395.1_genomic	76.29889
GCA_900543475.1_genomic	70.20186
GCF_002834235.1_genomic	66.28113
GCA_904420055.1_genomic	0.29539767
GCF_015140235.1_genomic	3.9292514
GCA_003150485.1_genomic	4.6918273
GCF_900167555.1_genomic	9.569707
GCA_017161075.1_genomic	12.984287
GCF_015560805.1_genomic	1.2236176
GCF_004295125.1_genomic	0.5369259
GCA_900199405.1_genomic	1.667408
GCF_015557635.1_genomic	9.49998
GCA_900754715.1_genomic	5.944485
GCA_904398665.1_genomic	0.53576434
GCA_900548545.1_genomic	0.9512756
GCF_000160055.1_genomic	0.054737024
GCA_900543485.1_genomic	0.62843996
GCA_000020605.1_genomic	1.6222702
GCF_003463065.1_genomic	1.2838416
GCA_025150745.1_genomic	2.2670004
GCF_900106755.1_genomic	23.601774
GCF_000265365.1_genomic	27.552002
GCA_900548585.1_genomic	0.5837847
GCF_000024265.1_genomic	4.6191874
GCA_900549945.1_genomic	0.37580198
GCA_018716575.1_genomic	0.33130512
GCF_018408705.1_genomic	2.7270343
GCA_004000625.1_genomic	3.4194298
GCA_900757195.1_genomic	10.325911
GCA_905215055.1_genomic	0.9535041
GCF_000020225.1_genomic	0.15561654
GCA_001917125.1_genomic	0.37501723
GCA_025145285.1_genomic	38.42783
GCA_003112755.1_genomic	3.6483586
GCA_934630995.1_genomic	0.22654231
GCA_900555065.1_genomic	0.5434066
GCA_900540805.1_genomic	3.0410037
GCA_000433535.1_genomic	13.063409
GCF_001025215.1_genomic	3.3190277
GCA_003573975.1_genomic	5.8151765
GCF_000466485.1_genomic	1.4156721
GCF_000332875.2_genomic	7.773968
GCF_004341945.1_genomic	0.2851163
GCA_900553295.1_genomic	3.6478195
GCA_900761925.1_genomic	0.39576274
GCF_000297775.1_genomic	0.5437725
GCA_018712945.1_genomic	0.7833363
GCF_009557455.1_genomic	5.5342884
GCA_904391645.1_genomic	0.25152427
GCF_018228665.1_genomic	4.1674867
GCA_003481775.1_genomic	1.4747604
GCA_025148125.1_genomic	27.500912
GCF_011405655.1_genomic	1.913666
GCA_902363515.1_genomic	3.2462845
GCF_000158035.1_genomic	26.670736
GCA_900544765.1_genomic	0.9335123
GCF_900199375.1_genomic	0.676881
