Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/011/205/GCF_000011205.1_genomic.fna.gz	100.00	0.027	100.47-104.46	0.027	0.01-0.04	1	1.035	599/11373	90.94	NC_003106.2 Sulfurisphaera tokodaii str. 7, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/021/645/GCF_000021645.1_genomic.fna.gz	100.00	0.128	101.54-102.57	0.128	0.11-0.15	1	1.061	1802/7811	95.38	NC_011661.1 Dictyoglomus turgidum DSM 6724, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/017/205/GCF_000017205.1_genomic.fna.gz	100.00	0.042	100.79-102.78	0.042	0.03-0.06	1	1.338	2010/27726	91.88	NC_009656.1 Pseudomonas aeruginosa PA7, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/308/215/GCF_000308215.1_genomic.fna.gz	100.00	0.137	101.24-102.05	0.137	0.12-0.15	1	1.076	2445/11312	95.18	NZ_CAJE01000026.1 Methanomassiliicoccus luminyensis B10, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/003/543/175/GCA_003543175.1_genomic.fna.gz	100.00	0.207	100.20-101.09	0.207	0.18-0.24	1	1.108	1492/6457	95.38	DPJC01000012.1 MAG TPA_asm: Hydrogenobaculum sp. isolate UBA8840 contig_1217, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/196/135/GCF_000196135.1_genomic.fna.gz	100.00	0.655	100.46-100.74	0.655	0.62-0.69	1	1.363	5342/9066	98.31	NC_005090.1 Wolinella succinogenes DSM 1740, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/305/GCF_000007305.1_genomic.fna.gz	100.00	0.062	99.25-101.90	0.062	0.04-0.09	1	1.416	577/8127	91.82	NC_003413.1 Pyrococcus furiosus DSM 3638, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/022/325/GCF_000022325.1_genomic.fna.gz	100.00	0.281	100.23-100.66	0.281	0.25-0.30	1	0.994	3792/11857	96.39	NC_012034.1 Caldicellulosiruptor bescii DSM 6725, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/015/805/GCF_000015805.1_genomic.fna.gz	100.00	1.250	99.80-100.49	1.250	1.18-1.99	2	1.993	7016/8605	99.34	NC_009073.1 Pyrobaculum calidifontis JCM 11548, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/003/510/745/GCA_003510745.1_genomic.fna.gz	100.00	0.987	100.15-100.34	0.987	0.95-1.04	1	1.640	4628/6731	98.80	DOKW01000009.1 MAG TPA_asm: Sulfurihydrogenibium sp. isolate UBA8851 contig_10540, whole genome shotgun sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/020/225/GCF_000020225.1_genomic.fna.gz	100.00	1.892	100.09-100.19	1.892	1.79-1.97	2	2.494	10177/11412	99.63	NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/306/945/GCF_000306945.1_genomic.fna.gz	100.00	0.305	99.88-100.34	0.305	0.28-0.32	1	1.178	4416/16129	95.91	NC_018518.1 Bordetella pertussis 18323, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/015/865/GCF_000015865.1_genomic.fna.gz	100.00	0.138	99.56-100.55	0.138	0.12-0.16	1	1.081	2105/15718	93.72	NC_009012.1 Acetivibrio thermocellus ATCC 27405, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/010/505/GCF_000010505.1_genomic.fna.gz	100.00	0.574	99.84-100.15	0.574	0.53-0.61	1	1.319	4159/9305	97.44	NC_010729.1 Porphyromonas gingivalis ATCC 33277, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/017/945/GCF_000017945.1_genomic.fna.gz	100.00	1.231	99.93-100.11	1.231	1.16-1.30	2	1.779	4100/5692	98.95	NC_009776.1 Ignicoccus hospitalis KIN4/I, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/018/865/GCF_000018865.1_genomic.fna.gz	100.00	1.513	99.98-100.05	1.513	1.46-1.55	2	1.914	17473/22107	99.24	NC_010175.1 Chloroflexus aurantiacus J-10-fl, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/125/GCF_000016125.1_genomic.fna.gz	100.00	1.862	99.95-100.06	1.862	1.78-1.97	2	2.419	6424/7519	99.49	NC_009135.1 Methanococcus maripaludis C5, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/065/GCF_000016065.1_genomic.fna.gz	100.00	0.695	99.92-100.08	0.695	0.67-0.72	1	1.443	9929/19501	97.85	NC_009092.1 Shewanella loihica PV-4, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/021/565/GCF_000021565.1_genomic.fna.gz	100.00	14.000	NA-NA	HIGH	NA-NA	14	15.061	8662/8662	100.00	NC_012440.1 Persephonella marina EX-H1, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/010/305/GCF_000010305.1_genomic.fna.gz	100.00	26.000	NA-NA	HIGH	NA-NA	26	25.673	20061/20062	100.00	NC_012489.1 Gemmatimonas aurantiaca T-27, complete sequence
meslier_reads/pacbio_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/785/GCF_000016785.1_genomic.fna.gz	100.00	23.000	NA-NA	HIGH	NA-NA	23	23.267	7807/7808	100.00	NC_009486.1 Thermotoga petrophila RKU-1, complete sequence
