Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/021/565/GCF_000021565.1_genomic.fna.gz	99.94	1.954	99.78-99.98	1.954	1.86-2.30	2	2.817	7345/8662	99.47	NC_012440.1 Persephonella marina EX-H1, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/018/945/GCF_000018945.1_genomic.fna.gz	99.93	7.000	NA-NA	HIGH	NA-NA	7	7.457	7868/8045	99.93	NC_011978.1 Thermotoga neapolitana DSM 4359, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/665/GCF_000008665.1_genomic.fna.gz	99.92	0.267	99.69-100.31	0.267	0.23-0.29	1	1.145	2164/9304	95.40	NC_000917.1 Archaeoglobus fulgidus DSM 4304, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/785/GCF_000016785.1_genomic.fna.gz	99.86	5.000	NA-NA	HIGH	NA-NA	5	5.714	7484/7808	99.86	NC_009486.1 Thermotoga petrophila RKU-1, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/011/065/GCF_000011065.1_genomic.fna.gz	99.85	0.161	99.56-100.16	0.161	0.15-0.18	1	1.092	3889/26733	93.97	NC_004663.1 Bacteroides thetaiotaomicron VPI-5482, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/002/952/055/GCF_002952055.1_genomic.fna.gz	99.85	1.223	99.80-99.92	1.223	1.17-1.26	2	1.891	7793/11441	98.77	NZ_CP021255.1 Desulfobulbus oralis strain HOT041/ORNL chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/019/085/GCF_000019085.1_genomic.fna.gz	99.83	1.861	99.77-99.88	1.861	1.77-1.95	2	2.649	7585/9389	99.31	NC_010321.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/022/565/GCF_000022565.1_genomic.fna.gz	99.82	0.098	99.15-100.57	0.098	0.08-0.12	1	1.049	1607/17757	92.54	NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/091/665/GCF_000091665.1_genomic.fna.gz	99.81	5.000	NA-NA	HIGH	NA-NA	5	5.069	7025/7457	99.81	NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/011/105/GCF_000011105.1_genomic.fna.gz	99.79	1.678	99.70-99.87	1.678	1.58-1.77	2	2.512	5808/7564	99.15	NC_000961.1 Pyrococcus horikoshii OT3, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/166/095/GCF_000166095.1_genomic.fna.gz	99.77	4.000	NA-NA	HIGH	NA-NA	4	4.587	4922/5284	99.77	NC_014658.1 Methanothermus fervidus DSM 2088, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/018/565/GCA_000018565.1_genomic.fna.gz	99.77	1.324	99.72-99.81	1.324	1.29-1.35	2	2.099	19545/28302	98.81	CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/020/465/GCF_000020465.1_genomic.fna.gz	99.75	1.564	99.68-99.81	1.564	1.49-1.65	2	2.224	8417/11393	99.03	NC_010803.1 Chlorobium limicola DSM 245, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/545/GCF_000016545.1_genomic.fna.gz	99.74	4.000	NA-NA	HIGH	NA-NA	4	4.362	11023/11955	99.74	NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/196/115/GCF_000196115.1_genomic.fna.gz	99.71	1.145	99.67-99.77	1.145	1.12-1.17	1	1.783	19164/30348	98.53	NC_005027.1 Rhodopirellula baltica SH 1, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/003/543/175/GCA_003543175.1_genomic.fna.gz	99.69	0.676	99.50-99.83	0.676	0.63-0.73	1	1.414	2932/6457	97.49	DPJC01000012.1 MAG TPA_asm: Hydrogenobaculum sp. isolate UBA8840 contig_1217, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/010/505/GCF_000010505.1_genomic.fna.gz	99.64	0.813	99.50-99.78	0.813	0.76-0.86	1	1.519	4699/9305	97.82	NC_010729.1 Porphyromonas gingivalis ATCC 33277, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/006/985/GCF_000006985.1_genomic.fna.gz	99.63	0.845	99.48-99.75	0.845	0.80-0.90	1	1.539	4744/9193	97.89	NC_002932.3 Chlorobaculum tepidum TLS, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/900/167/395/GCF_900167395.1_genomic.fna.gz	99.62	3.000	NA-NA	HIGH	NA-NA	3	3.223	10411/11710	99.62	NZ_FUWK01000085.1 Nitrosomonas europaea strain ATCC 25978, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/007/325/GCA_000007325.1_genomic.fna.gz	99.61	1.257	99.54-99.71	1.257	1.20-1.31	2	1.887	5816/9067	98.58	AE009951.2 Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/010/305/GCF_000010305.1_genomic.fna.gz	99.59	3.000	NA-NA	HIGH	NA-NA	3	3.061	17687/20062	99.59	NC_012489.1 Gemmatimonas aurantiaca T-27, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/003/510/745/GCA_003510745.1_genomic.fna.gz	99.59	0.317	99.29-99.99	0.317	0.27-0.35	1	1.262	1642/6731	95.55	DOKW01000009.1 MAG TPA_asm: Sulfurihydrogenibium sp. isolate UBA8851 contig_10540, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/012/825/GCF_000012825.1_genomic.fna.gz	99.56	0.517	99.44-99.71	0.517	0.48-0.54	1	1.300	7582/21133	96.75	NC_009614.1 Phocaeicola vulgatus ATCC 8482, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/018/865/GCF_000018865.1_genomic.fna.gz	99.52	0.345	99.42-99.70	0.345	0.32-0.36	1	1.194	5661/22107	95.70	NC_010175.1 Chloroflexus aurantiacus J-10-fl, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/225/GCF_000007225.1_genomic.fna.gz	99.51	0.062	98.44-100.88	0.062	0.04-0.08	1	1.030	496/9340	90.97	NC_003364.1 Pyrobaculum aerophilum str. IM2, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/011/205/GCF_000011205.1_genomic.fna.gz	99.50	0.046	98.16-101.16	0.046	0.03-0.07	1	1.027	447/11373	90.09	NC_003106.2 Sulfurisphaera tokodaii str. 7, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/639/275/GCF_001639275.1_genomic.fna.gz	99.50	3.000	NA-NA	HIGH	NA-NA	3	3.076	7563/8846	99.50	NZ_LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000001, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/015/805/GCF_000015805.1_genomic.fna.gz	99.48	0.334	99.22-99.80	0.334	0.29-0.36	1	1.176	2123/8605	95.59	NC_009073.1 Pyrobaculum calidifontis JCM 11548, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/017/945/GCF_000017945.1_genomic.fna.gz	99.47	0.603	99.27-99.68	0.603	0.54-0.64	1	1.339	2223/5692	97.01	NC_009776.1 Ignicoccus hospitalis KIN4/I, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/022/325/GCF_000022325.1_genomic.fna.gz	99.44	0.306	99.17-99.77	0.306	0.27-0.34	1	1.849	2700/11857	95.34	NC_012034.1 Caldicellulosiruptor bescii DSM 6725, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/125/GCF_000016125.1_genomic.fna.gz	99.42	0.800	99.27-99.54	0.800	0.75-0.86	1	1.510	3515/7519	97.58	NC_009135.1 Methanococcus maripaludis C5, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/019/785/GCF_000019785.1_genomic.fna.gz	99.42	0.026	97.74-101.68	0.026	0.01-0.04	1	1.026	462/20725	88.45	NC_010524.1 Leptothrix cholodnii SP-6, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/481/685/GCF_001481685.1_genomic.fna.gz	99.41	0.790	99.22-99.56	0.790	0.73-0.84	1	1.441	2759/5983	97.53	NZ_CP006867.1 Ignicoccus islandicus DSM 13165 chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/015/125/GCF_000015125.1_genomic.fna.gz	99.36	0.719	99.22-99.48	0.719	0.68-0.76	1	1.447	5430/12718	97.29	NC_008639.1 Chlorobium phaeobacteroides DSM 266, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/013/645/GCF_000013645.1_genomic.fna.gz	99.36	0.256	99.16-99.54	0.256	0.24-0.27	1	1.135	7796/41361	94.76	NC_007951.1 Paraburkholderia xenovorans LB400 chromosome 1, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/065/GCF_000016065.1_genomic.fna.gz	99.35	0.186	98.94-99.67	0.186	0.16-0.21	1	1.101	2766/19501	93.89	NC_009092.1 Shewanella loihica PV-4, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/156/375/GCF_000156375.1_genomic.fna.gz	99.27	0.390	99.07-99.57	0.390	0.35-0.41	1	1.226	3184/12133	95.78	NZ_DS996397.1 Desulfovibrio piger ATCC 29098 Scfld442, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/020/225/GCF_000020225.1_genomic.fna.gz	99.21	0.515	99.03-99.45	0.515	0.47-0.56	1	1.298	3656/11412	96.39	NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/185/GCF_000007185.1_genomic.fna.gz	99.20	0.273	98.88-99.66	0.273	0.23-0.30	1	1.141	1407/7420	94.78	NC_003551.1 Methanopyrus kandleri AV19, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/009/705/GCF_000009705.1_genomic.fna.gz	99.08	0.366	98.95-99.23	0.366	0.35-0.39	1	1.314	7152/30485	95.43	NC_003272.1 Nostoc sp. PCC 7120 = FACHB-418, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCA/000/008/085/GCA_000008085.1_genomic.fna.gz	99.08	0.587	98.71-99.45	0.587	0.51-0.67	1	1.332	746/2201	96.57	AE017199.1 Nanoarchaeum equitans Kin4-M chromosome, complete genome
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/008/124/605/GCF_008124605.1_genomic.fna.gz	99.04	1.081	98.93-99.15	1.081	1.02-1.15	1	1.789	4975/10007	97.77	NZ_VRYN01000001.1 Halobacterium salinarum DSM 3754 Ga0061114_scaffold00001.1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/565/GCF_000008565.1_genomic.fna.gz	99.04	0.157	98.54-99.53	0.157	0.13-0.18	1	1.082	1519/13818	93.13	NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/185/GCF_000008185.1_genomic.fna.gz	99.03	0.284	98.72-99.38	0.284	0.25-0.31	1	1.151	2278/12251	94.72	NC_002967.9 Treponema denticola ATCC 35405, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/021/282/585/GCF_021282585.1_genomic.fna.gz	99.02	0.649	98.93-99.14	0.649	0.62-0.67	1	1.387	9812/27430	96.74	NZ_JAJSPR010000100.1 Pseudomonas alloputida strain NMI2441_06 NODE_100_length_3132_cov_481.337, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/015/865/GCF_000015865.1_genomic.fna.gz	98.98	0.247	98.69-99.30	0.247	0.22-0.27	1	1.130	2549/15718	94.30	NC_009012.1 Acetivibrio thermocellus ATCC 27405, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/007/985/GCF_000007985.2_genomic.fna.gz	98.91	0.257	98.64-99.18	0.257	0.23-0.28	1	1.130	2707/16461	94.34	NC_002939.5 Geobacter sulfurreducens PCA, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/021/645/GCF_000021645.1_genomic.fna.gz	98.73	0.117	97.77-99.71	0.117	0.09-0.16	1	1.059	596/7811	92.03	NC_011661.1 Dictyoglomus turgidum DSM 6724, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/016/425/GCF_000016425.1_genomic.fna.gz	98.64	0.156	98.25-99.02	0.156	0.14-0.18	1	1.081	2111/21909	92.73	NC_009380.1 Salinispora tropica CNB-440, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/006/716/065/GCF_006716065.1_genomic.fna.gz	98.43	0.169	98.05-98.70	0.169	0.15-0.19	1	1.094	2344/24128	92.75	NZ_VFOL01000001.1 Salinispora arenicola strain DSM 44819 Ga0264271_11, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/003/968/655/GCF_003968655.1_genomic.fna.gz	98.35	1.295	98.22-98.45	1.295	1.21-1.39	2	1.890	3877/8851	97.37	NZ_RXYK01000010.1 Chlorobium phaeovibrioides strain BrKhr17 NODE_10_length_80169_cov_14.7459, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/196/135/GCF_000196135.1_genomic.fna.gz	98.34	0.230	97.81-98.85	0.230	0.19-0.27	1	1.128	1130/9066	93.50	NC_005090.1 Wolinella succinogenes DSM 1740, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/900/456/975/GCF_900456975.1_genomic.fna.gz	98.32	1.275	98.24-98.38	1.275	1.23-1.32	2	2.002	9421/21877	97.32	NZ_UGYM01000002.1 Shewanella baltica strain NCTC10735, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/392/875/GCF_000392875.1_genomic.fna.gz	98.28	0.116	97.47-99.12	0.116	0.09-0.15	1	1.060	803/12252	91.58	NZ_KB944588.1 Enterococcus faecalis ATCC 19433 acAqW-supercont1.1, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/001/645/105/GCF_001645105.1_genomic.fna.gz	98.16	0.716	98.06-98.27	0.716	0.68-0.74	1	1.446	8284/28352	96.11	NZ_LKEG01000001.1 Pseudomonas marginalis strain ICMP 3553 C1001, whole genome shotgun sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/306/945/GCF_000306945.1_genomic.fna.gz	97.96	0.091	97.01-98.73	0.091	0.07-0.12	1	1.044	758/16129	90.61	NC_018518.1 Bordetella pertussis 18323, complete sequence
meslier_reads/nanopore_subsamp.fq	gtdb_genomes_reps_r214/database/GCF/000/008/545/GCF_000008545.1_genomic.fna.gz	97.80	5.000	NA-NA	HIGH	NA-NA	5	5.546	4014/7992	97.80	NC_000853.1 Thermotoga maritima MSB8, complete sequence
