Genome	SRR19064320_1.fastq.gz Mean
GCA_900757145.1_genomic	0.29519466
GCF_000425045.1_genomic	39.142986
GCF_002998925.1_genomic	0.12787543
GCA_900755095.1_genomic	3.629207
GCF_001881565.1_genomic	0.3170348
GCF_003425665.1_genomic	2.570657
GCF_902364025.1_genomic	0.52702326
GCF_000157995.1_genomic	0.74204576
GCF_000012845.1_genomic	12.4749775
GCA_002320595.1_genomic	0.4213057
GCA_000435195.1_genomic	2.0520644
GCF_024622975.1_genomic	4.7944303
GCF_005121165.3_genomic	3.452155
GCF_006739205.1_genomic	0.20763968
GCA_900541345.1_genomic	0.68096894
GCF_002834235.1_genomic	2.7581675
GCF_900167555.1_genomic	4.9026213
GCF_015560805.1_genomic	0.7461263
GCF_004295125.1_genomic	1.2647283
GCF_015557635.1_genomic	24.155
GCF_001182045.1_genomic	0.12579599
GCF_001068775.1_genomic	0.27399585
GCA_900548545.1_genomic	0.54078406
GCA_000020605.1_genomic	40.731205
GCF_900106755.1_genomic	1.3616127
GCF_000265365.1_genomic	4.665927
GCF_000723465.1_genomic	8.394671
GCF_001956585.1_genomic	0.08249846
GCF_000024265.1_genomic	1.073112
GCA_900549945.1_genomic	14.893328
GCA_018716575.1_genomic	0.058255304
GCF_018408705.1_genomic	0.6624126
GCA_004000625.1_genomic	10.291096
GCA_015255025.1_genomic	1.1725897
GCF_000020225.1_genomic	0.11843832
GCA_025145285.1_genomic	5.0140095
GCA_003112755.1_genomic	0.76293087
GCF_003435375.1_genomic	4.4187236
GCF_001025215.1_genomic	3.9478838
GCF_002959915.1_genomic	1.9270543
GCF_020215665.1_genomic	0.82783
GCF_015560765.1_genomic	31.780941
GCA_900547195.1_genomic	0.14076118
GCA_025148965.1_genomic	0.9144043
GCA_003573975.1_genomic	1.777424
GCF_000466485.1_genomic	0.12054859
GCF_000332875.2_genomic	1.4454734
GCF_004341945.1_genomic	2.6858299
GCA_020555865.1_genomic	0.9482492
GCF_010120595.1_genomic	2.0577502
GCF_902810435.1_genomic	0.8175981
GCA_025148125.1_genomic	78.66111
GCF_011405655.1_genomic	0.8879871
GCF_000158035.1_genomic	12.427043
GCF_001061665.1_genomic	0.09490208
GCF_014131695.1_genomic	0.653976
GCA_900556785.1_genomic	2.3157187
GCA_014385265.1_genomic	1.7555948
GCF_000010425.1_genomic	10.672294
GCF_900537995.1_genomic	26.134384
GCA_025150085.1_genomic	27.197855
GCF_000577815.1_genomic	1.5764469
GCA_000435595.1_genomic	0.053790435
GCF_000239295.1_genomic	8.057895
GCA_902362775.1_genomic	1.0531886
GCF_900167005.1_genomic	10.269225
GCF_001244995.1_genomic	0.796778
GCF_000205025.1_genomic	2.0381858
GCA_000154345.1_genomic	3.1882005
GCF_000220835.1_genomic	0.07977754
GCF_003697165.2_genomic	2.5557425
GCF_020297485.1_genomic	0.47029385
GCF_000243215.1_genomic	0.4399213
GCA_025147325.1_genomic	132.37926
GCF_000296465.1_genomic	11.511206
GCA_000155435.1_genomic	0.27869403
GCF_000278725.1_genomic	1.6345588
GCF_013282095.1_genomic	1.8766367
GCF_024499055.1_genomic	0.74383396
GCF_016901815.1_genomic	1.3549991
GCF_000190535.1_genomic	3.9339802
GCF_900103425.1_genomic	0.9101759
GCF_001280875.1_genomic	1.3048464
GCF_001042595.1_genomic	0.7949709
GCF_000381525.1_genomic	0.53165424
GCF_000016525.1_genomic	0.032695454
GCF_000196555.1_genomic	13.581621
GCF_001487165.1_genomic	23.633953
GCF_008121495.1_genomic	9.423653
GCA_900538575.1_genomic	0.21460405
GCA_000432335.1_genomic	1.608927
GCF_013393365.1_genomic	3.7197435
GCA_916048115.1_genomic	0.2612852
GCA_900112995.1_genomic	17.32774
GCA_025149785.1_genomic	15.227731
GCA_025146565.1_genomic	5.7636185
GCF_002234575.2_genomic	1.1843659
GCA_900548305.1_genomic	0.82605624
