Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/154/325/GCA_000154325.1_genomic.fna.gz	18.3345	14.7577	97.51	9.358	NA-NA	HIGH	NA-NA	9	9.358	5190/11351	97.51	DS499551.1 Eubacterium siraeum DSM 15702 Scfld_03_43 genomic scaffold, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/525/GCF_000154525.1_genomic.fna.gz	8.7627	10.4864	97.14	4.472	NA-NA	HIGH	NA-NA	4	4.472	6873/16882	97.14	NZ_DS499677.1 Bacteroides stercoris ATCC 43183 Scfld_02_16, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/695/995/GCF_009695995.1_genomic.fna.gz	7.1322	6.3232	96.04	3.640	NA-NA	HIGH	NA-NA	3	3.640	3605/12609	96.04	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/205/GCF_000154205.1_genomic.fna.gz	6.3341	8.9209	96.98	3.233	NA-NA	HIGH	NA-NA	3	3.233	7621/19703	96.98	NZ_DS362249.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_32, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	3.5303	5.9271	98.87	1.802	98.82-98.92	1.802	1.73-1.86	2	2.616	13908/23489	98.32	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/435/GCA_000434435.1_genomic.fna.gz	3.0731	1.3719	97.28	1.569	97.13-97.42	1.569	1.43-1.72	2	3.091	2170/6378	96.58	FR895494.1 Firmicutes bacterium CAG:475 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/172/175/GCF_000172175.1_genomic.fna.gz	3.0697	5.5449	98.39	1.567	98.33-98.44	1.567	1.52-1.63	2	2.226	12515/25907	97.68	NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/495/GCA_000435495.1_genomic.fna.gz	2.8853	1.1685	99.24	1.473	99.13-99.35	1.473	1.37-1.57	2	2.238	3586/5840	98.44	FR884004.1 Firmicutes bacterium CAG:552 genomic scaffold, scf8, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/075/GCF_000210075.1_genomic.fna.gz	2.7963	4.9874	97.69	1.427	97.61-97.76	1.427	1.37-1.49	2	2.055	9446/25349	96.87	NC_021017.1 Bacteroides xylanisolvens XB1A, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/160/055/GCF_000160055.1_genomic.fna.gz	2.7927	1.5802	97.30	1.425	97.14-97.42	1.425	1.31-1.56	2	2.036	2649/8049	96.48	NZ_GG698602.1 Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/404/675/GCF_001404675.1_genomic.fna.gz	2.7556	2.5398	98.55	1.406	98.48-98.63	1.406	1.34-1.46	2	2.044	6397/13182	97.69	NZ_CYXU01000001.1 Coprococcus eutactus strain 2789STDY5834963, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/014/288/065/GCF_014288065.1_genomic.fna.gz	2.7329	1.9870	98.04	1.395	97.93-98.12	1.395	1.33-1.49	2	2.110	4340/10512	97.19	NZ_JACOPS010000001.1 Ruminococcus sp. NSJ-71 M23_ctg001, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/584/705/GCA_003584705.1_genomic.fna.gz	2.5220	3.0699	97.76	1.287	97.66-97.83	1.287	1.22-1.35	2	2.736	6250/17205	96.79	AP018536.1 Lachnospiraceae bacterium GAM79 DNA, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/014/337/155/GCA_014337155.1_genomic.fna.gz	2.4122	2.1186	98.13	1.231	98.03-98.22	1.231	1.18-1.31	2	2.020	5051/12579	97.10	CP060632.1 Lachnospiraceae bacterium NSJ-4 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/020/605/GCA_000020605.1_genomic.fna.gz	2.2676	2.3346	96.81	1.157	96.68-96.96	1.157	1.08-1.24	1	1.824	3565/14021	95.68	CP001107.1 [Eubacterium] rectale ATCC 33656 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/680/455/GCF_009680455.1_genomic.fna.gz	2.2328	2.0145	98.47	1.140	98.37-98.56	1.140	1.09-1.20	2	1.905	5617/13152	97.29	NZ_WKRD01000010.1 Lachnospira eligens strain BIOML-A1 scaffold10_size99411, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/012/845/GCF_000012845.1_genomic.fna.gz	1.6242	2.3323	97.13	0.829	97.01-97.27	0.829	0.78-0.87	1	1.527	4774/20586	95.40	NC_009615.1 Parabacteroides distasonis ATCC 8503, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/112/995/GCA_900112995.1_genomic.fna.gz	1.4783	1.2430	98.71	0.754	98.54-98.84	0.754	0.71-0.80	1	1.559	4388/12183	96.76	FONU01000049.1 Lactobacillus rogosae strain ATCC 27753 genome assembly, contig: Ga0052885_scaffold00047.47, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/553/675/GCA_900553675.1_genomic.fna.gz	1.4417	0.9166	97.67	0.736	97.49-97.87	0.736	0.67-0.79	1	1.499	2346/9175	95.70	USEH01000001.1 uncultured Ruminococcus sp. isolate UMGS1641 genome assembly, contig: NODE_396_length_45586_cov_3.316026, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/190/535/GCF_000190535.1_genomic.fna.gz	1.1557	1.5149	98.64	0.590	98.49-98.80	0.590	0.55-0.63	1	1.366	5480/18480	96.15	NC_015160.1 Odoribacter splanchnicus DSM 20712, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/065/GCF_000154065.1_genomic.fna.gz	1.0993	0.9565	98.83	0.561	98.65-99.04	0.561	0.51-0.60	1	1.448	3777/12400	96.24	NZ_DS264419.1 Dorea longicatena DSM 13814 Scfld0235, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/174/195/GCF_000174195.1_genomic.fna.gz	1.0919	1.3193	97.55	0.557	97.38-97.78	0.557	0.50-0.59	1	1.465	3538/17492	94.98	NZ_ACFY01000179.1 Roseburia inulinivorans DSM 16841 R_inulinivorans-1.0.1_Cont604.1, whole genome shotgun sequence
