Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/025/150/425/GCA_025150425.1_genomic.fna.gz	18.0288	13.0236	97.51	17.123	NA-NA	HIGH	NA-NA	9	9.360	5232/11421	97.51	CP102281.1 [Eubacterium] siraeum strain DSM 15702 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/025/147/325/GCA_025147325.1_genomic.fna.gz	8.6175	9.2587	97.15	8.185	NA-NA	HIGH	NA-NA	4	4.474	6884/16879	97.15	CP102262.1 Bacteroides stercoris ATCC 43183 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/009/695/995/GCF_009695995.1_genomic.fna.gz	7.0130	5.5847	96.04	6.661	NA-NA	HIGH	NA-NA	3	3.641	3604/12609	96.04	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/025/147/485/GCA_025147485.1_genomic.fna.gz	6.2436	7.7484	96.99	5.930	NA-NA	HIGH	NA-NA	3	3.242	7585/19545	96.99	CP102263.1 Bacteroides uniformis strain ATCC 8492 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	3.4706	5.2338	98.87	3.296	98.82-98.92	1.802	1.73-1.86	2	2.616	13907/23489	98.32	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/000/434/435/GCA_000434435.1_genomic.fna.gz	3.0212	1.2115	97.28	2.869	97.13-97.42	1.569	1.43-1.72	2	3.091	2170/6378	96.58	FR895494.1 Firmicutes bacterium CAG:475 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/172/175/GCF_000172175.1_genomic.fna.gz	3.0177	4.8963	98.39	2.866	98.33-98.44	1.567	1.52-1.63	2	2.226	12515/25907	97.68	NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/000/435/495/GCA_000435495.1_genomic.fna.gz	2.8365	1.0318	99.24	2.694	99.13-99.35	1.473	1.37-1.57	2	2.238	3586/5840	98.44	FR884004.1 Firmicutes bacterium CAG:552 genomic scaffold, scf8, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/210/075/GCF_000210075.1_genomic.fna.gz	2.7490	4.4040	97.69	2.611	97.61-97.76	1.427	1.37-1.49	2	2.055	9446/25349	96.87	NC_021017.1 Bacteroides xylanisolvens XB1A, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/160/055/GCF_000160055.1_genomic.fna.gz	2.7455	1.3954	97.30	2.608	97.14-97.42	1.425	1.31-1.56	2	2.036	2649/8049	96.48	NZ_GG698602.1 Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/001/404/675/GCF_001404675.1_genomic.fna.gz	2.7090	2.2427	98.55	2.573	98.48-98.63	1.406	1.34-1.46	2	2.044	6397/13182	97.69	NZ_CYXU01000001.1 Coprococcus eutactus strain 2789STDY5834963, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/023/921/805/GCF_023921805.1_genomic.fna.gz	2.6701	1.7007	98.10	2.536	97.97-98.21	1.386	1.30-1.50	2	2.056	4154/9941	97.22	NZ_CP074197.1 Ruminococcus sp. FMBCY1 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/003/584/705/GCA_003584705.1_genomic.fna.gz	2.4815	2.7132	97.76	2.357	97.66-97.83	1.288	1.22-1.35	2	2.734	6251/17205	96.79	AP018536.1 Lachnospiraceae bacterium GAM79 DNA, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/014/337/155/GCF_014337155.1_genomic.fna.gz	2.3701	1.8698	98.12	2.251	98.01-98.21	1.231	1.17-1.31	2	1.999	5022/12579	97.08	NZ_CP060632.1 Wujia chipingensis strain NSJ-4 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/000/020/605/GCA_000020605.1_genomic.fna.gz	2.2324	2.0644	96.80	2.120	96.67-96.94	1.159	1.08-1.24	1	1.823	3554/14021	95.67	CP001107.1 [Eubacterium] rectale ATCC 33656 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/009/680/455/GCF_009680455.1_genomic.fna.gz	2.1950	1.7789	98.47	2.085	98.37-98.56	1.140	1.09-1.20	2	1.905	5617/13152	97.29	NZ_WKRD01000010.1 Lachnospira eligens strain BIOML-A1 scaffold10_size99411, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/012/845/GCF_000012845.1_genomic.fna.gz	1.5968	2.0595	97.13	1.517	97.01-97.27	0.829	0.78-0.87	1	1.527	4774/20586	95.40	NC_009615.1 Parabacteroides distasonis ATCC 8503, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/900/112/995/GCA_900112995.1_genomic.fna.gz	1.4541	1.0982	98.71	1.381	98.54-98.84	0.755	0.71-0.81	1	1.561	4393/12183	96.76	FONU01000049.1 Lactobacillus rogosae strain ATCC 27753 genome assembly, contig: Ga0052885_scaffold00047.47, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/900/553/675/GCA_900553675.1_genomic.fna.gz	1.4173	0.8094	97.67	1.346	97.49-97.87	0.736	0.67-0.79	1	1.499	2346/9175	95.70	USEH01000001.1 uncultured Ruminococcus sp. isolate UMGS1641 genome assembly, contig: NODE_396_length_45586_cov_3.316026, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/190/535/GCF_000190535.1_genomic.fna.gz	1.1362	1.3377	98.64	1.079	98.49-98.80	0.590	0.55-0.63	1	1.366	5480/18480	96.15	NC_015160.1 Odoribacter splanchnicus DSM 20712, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/025/150/085/GCA_025150085.1_genomic.fna.gz	1.0984	0.8598	98.84	1.043	98.65-99.04	0.570	0.52-0.61	1	1.451	3855/12447	96.29	CP102280.1 Dorea longicatena strain DSM 13814 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/174/195/GCF_000174195.1_genomic.fna.gz	1.0803	1.1724	97.57	1.026	97.38-97.79	0.561	0.51-0.60	1	1.479	3574/17492	95.01	NZ_ACFY01000179.1 Roseburia inulinivorans DSM 16841 R_inulinivorans-1.0.1_Cont604.1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/003/526/845/GCA_003526845.1_genomic.fna.gz	1.0637	0.5271	97.90	1.010	97.68-98.19	0.552	0.49-0.60	1	1.313	1800/8042	95.29	DPVM01000006.1 MAG TPA_asm: Oscillospiraceae bacterium isolate UBA9115 contig_1181, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCF/000/011/065/GCF_000011065.1_genomic.fna.gz	1.0400	1.7545	97.57	0.988	97.44-97.72	0.540	0.51-0.56	1	1.328	5303/26733	94.92	NC_004663.1 Bacteroides thetaiotaomicron VPI-5482, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/000/437/395/GCA_000437395.1_genomic.fna.gz	1.0199	0.4483	98.03	0.969	97.78-98.32	0.530	0.47-0.57	1	1.342	1596/7060	95.32	FR898160.1 Clostridium sp. CAG:288 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/000/434/215/GCA_000434215.1_genomic.fna.gz	1.0011	0.6622	98.24	0.951	98.04-98.50	0.520	0.47-0.56	1	1.319	2541/10680	95.47	HF999650.1 Bacteroides sp. CAG:144 genomic scaffold, scf3, whole genome shotgun sequence
