Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/154/325/GCA_000154325.1_genomic.fna.gz	16.3030	13.0686	97.51	7.959	NA-NA	HIGH	NA-NA	8	7.959	5190/11351	97.51	DS499551.1 Eubacterium siraeum DSM 15702 Scfld_03_43 genomic scaffold, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/525/GCF_000154525.1_genomic.fna.gz	8.2726	9.8592	97.14	4.039	NA-NA	HIGH	NA-NA	4	4.039	6873/16882	97.14	NZ_DS499677.1 Bacteroides stercoris ATCC 43183 Scfld_02_16, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/695/995/GCF_009695995.1_genomic.fna.gz	6.8927	6.0858	96.04	3.365	NA-NA	HIGH	NA-NA	3	3.365	3605/12609	96.04	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/205/GCF_000154205.1_genomic.fna.gz	6.1880	8.6793	96.98	3.021	NA-NA	HIGH	NA-NA	3	3.021	7621/19703	96.98	NZ_DS362249.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_32, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	3.6891	6.1681	98.87	1.801	98.83-98.92	1.801	1.73-1.86	2	2.503	13907/23489	98.32	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/435/GCA_000434435.1_genomic.fna.gz	3.2142	1.4290	97.28	1.569	97.14-97.41	1.569	1.44-1.73	2	2.929	2170/6378	96.58	FR895494.1 Firmicutes bacterium CAG:475 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/172/175/GCF_000172175.1_genomic.fna.gz	3.2092	5.7731	98.39	1.567	98.33-98.44	1.567	1.52-1.63	2	2.169	12515/25907	97.68	NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/495/GCA_000435495.1_genomic.fna.gz	3.0194	1.2177	99.24	1.474	99.13-99.34	1.474	1.37-1.57	2	2.167	3586/5840	98.44	FR884004.1 Firmicutes bacterium CAG:552 genomic scaffold, scf8, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/075/GCF_000210075.1_genomic.fna.gz	2.9227	5.1914	97.69	1.427	97.61-97.76	1.427	1.37-1.49	2	2.011	9446/25349	96.87	NC_021017.1 Bacteroides xylanisolvens XB1A, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/160/055/GCF_000160055.1_genomic.fna.gz	2.9196	1.6452	97.31	1.425	97.15-97.41	1.425	1.32-1.56	2	1.989	2649/8049	96.48	NZ_GG698602.1 Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/404/675/GCF_001404675.1_genomic.fna.gz	2.8824	2.6457	98.55	1.407	98.47-98.63	1.407	1.34-1.46	2	1.999	6397/13182	97.69	NZ_CYXU01000001.1 Coprococcus eutactus strain 2789STDY5834963, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/014/288/065/GCF_014288065.1_genomic.fna.gz	2.8571	2.0688	98.04	1.395	97.94-98.13	1.395	1.32-1.49	2	2.075	4340/10512	97.19	NZ_JACOPS010000001.1 Ruminococcus sp. NSJ-71 M23_ctg001, whole genome shotgun sequence
